  18 Comparte	esta
   8 esta	Comparte
   8 de	la
   5 del	gobierno
   4 su	partido
   4 presidente	del
   4 la	BBC
   4 en	el
   3 que	el
   3 primera	vez
   3 la	primera
   3 la	imagen
   3 junio	2018
   3 imagen	Getty
   3 en	la
   3 el	Congreso
   3 de	autor
   3 autor	de
   3 News	Mundo
   3 Images	Image
   3 Image	caption
   3 Getty	Images
   3 Derechos	de
   3 BBC	News
   3 Acerca	de
   3 1	junio
   2 vez	que
   2 son	ventana
   2 que	la
   2 presentarse	a
   2 por	la
   2 perder	una
   2 nuevo	presidente
   2 no	ha
   2 no	es
   2 las	primarias
   2 la	izquierda
   2 esta	Messenger
   2 es	el
   2 en	las
   2 elecciones	de
   2 el	PSOE
   2 del	PSOE
   2 de	su
   2 de	los
   2 de	compartir
   2 de	2015
   2 caption	Pedro
   2 candidato	a
   2 a	las
   2 Weather	Radio
   2 Sport	Weather
   2 Secciones	Noticias
   2 Salud	Cultura
   2 Radio	Arts
   2 Pero	el
   2 Pedro	es
   2 Noticias	Hay
   2 News	Sport
   2 Mundo	Secciones
   2 Messenger	Comparte
   2 Mariano	Rajoy
   2 Internacional	Ciencia
   2 Hay	Festival
   2 Festival	Internacional
   2 Estos	son
   2 Deportes	Video
   2 Cultura	Deportes
   2 Ciencia	Salud
   2 Buscar	en
   2 BBC	Mundo
   2 Accessibility	Help
   1 y	visitaba
   1 y	uno
   1 y	posteriormente
   1 y	los
   1 y	la
   1 y	enarbolando
   1 y	diputado
   1 y	Ciudadanos
   1 y	2016
   1 www	bbc
   1 votos	socialistas
   1 votantes	por
   1 volver	a
   1 visitaba	Pedro
   1 vida	parlamentaria
   1 vez	en
   1 ventana	Email
   1 ventana	BUTTON
   1 vascos	valencianos
   1 valencianos	y
   1 uso	Acerca
   1 uno	de
   1 una	guerra
   1 una	carrera
   1 una	Es
   1 una	Actualmente
   1 una	1
   1 un	presidente
   1 un	momento
   1 trayectoria	tiene
   1 tras	perder
   1 todo	llegar
   1 tiene	aguante
   1 tampoco	Derechos
   1 sus	votantes
   1 sus	peores
   1 su	secretario
   1 su	gobierno
   1 su	famoso
   1 su	acta
   1 solo	cuenta
   1 socialistas	y
   1 socialistas	se
   1 socialista	una
   1 sido	dirigente
   1 si	fuera
   1 ser	presidente
   1 ser	diputado
   1 segunda	fuerza
   1 sede	del
   1 secretario	general
   1 se	ganan
   1 se	como
   1 se	Con
   1 se	Antes
   1 salvar	a
   1 resultados	en
   1 responsabilidad	de
   1 relacionados	Europa
   1 relacionado	1
   1 recibir	notificaciones
   1 que	se
   1 que	puso
   1 que	no
   1 que	las
   1 puso	fin
   1 puedes	recibir
   1 propuesto	para
   1 propuesto	como
   1 primer	presidente
   1 primarias	socialistas
   1 primarias	de
   1 presidente	que
   1 presidente	Pedro
   1 presidencia	Pero
   1 precisado	ninguna
   1 posteriormente	su
   1 por	propuesto
   1 popular	el
   1 poco	al
   1 pero	no
   1 perdido	la
   1 perderlo	todo
   1 peores	resultados
   1 partido	solo
   1 partido	le
   1 partido	el
   1 partido	a
   1 partido	Fue
   1 partido	Ahora
   1 parlamentaria	por
   1 para	salvar
   1 para	candidato
   1 para	aplicar
   1 panel	Pedro
   1 octubre	de
   1 obtuvo	sus
   1 obtuvo	los
   1 nuevo	como
   1 nueva	contenido
   1 nueva	cara
   1 notificaciones	de
   1 noticias	internacional
   1 no	ser
   1 no	obtuvo
   1 no	leyes
   1 no	a
   1 ninguna	fecha
   1 necesarios	en
   1 nacionalistas	vascos
   1 mundo	noticias
   1 momento	de
   1 luego	perderlo
   1 los	nacionalistas
   1 los	independentistas
   1 los	canarios
   1 los	apoyos
   1 llegar	hasta
   1 llegar	a
   1 links	Ir
   1 leyes	Una
   1 le	general
   1 las	que
   1 las	grandes
   1 las	elecciones
   1 las	crisis
   1 la	vida
   1 la	trayectoria
   1 la	sede
   1 la	presidencia
   1 la	nueva
   1 la	historia
   1 la	de
   1 la	confianza
   1 la	centroderecha
   1 la	bandera
   1 la	Pero
   1 la	Mesa
   1 izquierda	nuevo
   1 izquierda	de
   1 inviste	a
   1 internacional	44330520
   1 interna	en
   1 independentistas	catalanes
   1 igual	que
   1 https	www
   1 historia	de
   1 hasta	llegar
   1 ha	sido
   1 ha	precisado
   1 guerra	interna
   1 grandes	competiciones
   1 gran	que
   1 gobierno	una
   1 gobierno	tras
   1 gobierno	tampoco
   1 gobierno	pero
   1 gobierno	conservador
   1 gobierno	Tras
   1 gobierno	Derechos
   1 gestionar	la
   1 general	del
   1 general	El
   1 ganan	partido
   1 fuerza	por
   1 fuera	poco
   1 fin	al
   1 fecha	Las
   1 famoso	no
   1 este	de
   1 esta	WhatsApp
   1 esta	Twitter
   1 esta	LinkedIn
   1 esta	Google
   1 esta	Facebook
   1 esta	Estos
   1 esta	Copiar
   1 esta	Compartir
   1 es	no
   1 es	diputado
   1 entrenador	Diego
   1 enfrenta	Por
   1 encargada	de
   1 enarbolando	la
   1 en	su
   1 en	se
   1 embargo	PSOE
   1 elecciones	aunque
   1 elecciones	El
   1 el	propuesto
   1 el	primer
   1 el	nuevo
   1 el	https
   1 el	entrenador
   1 el	camino
   1 el	apoyo
   1 el	Pedro
   1 el	Partido
   1 el	Los
   1 el	Ayuntamiento
   1 el	1
   1 dirigente	socialista
   1 diputados	y
   1 diputado	no
   1 diputado	crowdfunding
   1 diputado	Cuando
   1 diputado	Con
   1 diciembre	de
   1 desahucio	Derechos
   1 del	Congreso
   1 deja	de
   1 de	uso
   1 de	una
   1 de	sus
   1 de	ser
   1 de	presentarse
   1 de	octubre
   1 de	las
   1 de	gran
   1 de	gestionar
   1 de	diputado
   1 de	diciembre
   1 de	convertirse
   1 de	apuesta
   1 de	Mariano
   1 de	Madrid
   1 de	BBC
   1 de	46
   1 de	2016
   1 de	2011
   1 de	1
   1 cuenta	con
   1 crowdfunding	votos
   1 crisis	que
   1 convertirse	en
   1 contenido	Temas
   1 contenido	Accessibility
   1 conservador	de
   1 conocido	Doctor
   1 confianza	de
   1 concejal	en
   1 con	84
   1 competiciones	se
   1 compartir	Estos
   1 compartir	Email
   1 como	su
   1 como	concejal
   1 como	candidato
   1 com	mundo
   1 circunstancias	de
   1 centroderecha	Partido
   1 catalanes	y
   1 carrera	de
   1 cara	del
   1 caption	El
   1 canarios	este
   1 camino	no
   1 bbc	com
   1 bandera	de
   1 aunque	no
   1 apuesta	para
   1 apoyos	necesarios
   1 apoyo	de
   1 aplicar	el
   1 al	no
   1 al	gobierno
   1 al	contenido
   1 aguante	igual
   1 acta	de
   1 a	un
   1 a	su
   1 a	presidente
   1 a	presentarse
   1 a	partido
   1 a	la
   1 a	Rajoy
   1 a	La
   1 a	BBC
   1 ____________________	BUTTON
   1 WhatsApp	Volver
   1 WhatsApp	Comparte
   1 Volver	Arriba
   1 Video	de
   1 Video	News
   1 Una	de
   1 Twitter	Google
   1 Twitter	Comparte
   1 Tras	elecciones
   1 Temas	relacionados
   1 Socialista	Obrero
   1 Sin	embargo
   1 Simeone	que
   1 Se	enfrenta
   1 Se	elecciones
   1 Rajoy	y
   1 Rajoy	deja
   1 Rajoy	Mariano
   1 Rajoy	La
   1 Por	si
   1 Popular	y
   1 Personalised	Newsletters
   1 Pero	la
   1 Pero	de
   1 Pedro	perdido
   1 Pedro	en
   1 Pedro	Rajoy
   1 Pedro	Acaba
   1 Partido	Socialista
   1 Partido	Popular
   1 Parental	Guidance
   1 PSOE	segunda
   1 PSOE	para
   1 PSOE	obtuvo
   1 PSOE	luego
   1 PSOE	el
   1 PSOE	Cuando
   1 PP	popular
   1 Obrero	PSOE
   1 Newsletters	responsabilidad
   1 Mundo	Get
   1 Mundo	Descarga
   1 Mundo	BBC
   1 Moncloa	la
   1 Messenger	Twitter
   1 Messenger	Messenger
   1 Mesa	del
   1 Madrid	y
   1 Los	Pero
   1 LinkedIn	WhatsApp
   1 LinkedIn	Comparte
   1 Lea	
   1 Las	circunstancias
   1 La	nueva
   1 La	Moncloa
   1 Ir	al
   1 Homepage	Accessibility
   1 Help	Parental
   1 Help	News
   1 Guidance	Escriba
   1 Google	LinkedIn
   1 Google	Comparte
   1 Get	Personalised
   1 Fue	un
   1 Facebook	Messenger
   1 Facebook	Comparte
   1 Europa	Compartir
   1 Escriba	a
   1 Es	la
   1 Email	Facebook
   1 Email	Comparte
   1 El	nuevo
   1 El	elecciones
   1 El	PP
   1 El	El
   1 Doctor	en
   1 Diego	Cholo
   1 Descarga	la
   1 Del	desahucio
   1 Cuando	volver
   1 Cuando	conocido
   1 Copiar	el
   1 Cookies	Accessibility
   1 Contenido	relacionado
   1 Congreso	que
   1 Congreso	inviste
   1 Congreso	encargada
   1 Congreso	Se
   1 Condiciones	de
   1 Con	su
   1 Con	el
   1 Compartir	Comparte
   1 Compartir	Acerca
   1 Ciudadanos	Se
   1 Cholo	Simeone
   1 Cerrar	panel
   1 Buscar	Buscar
   1 BUTTON	Cerrar
   1 BUTTON	Buscar
   1 BBC	____________________
   1 BBC	Lea
   1 BBC	Cookies
   1 Ayuntamiento	de
   1 Arts	Condiciones
   1 Arts	Buscar
   1 Arriba	Contenido
   1 Antes	de
   1 Ahora	puedes
   1 Actualmente	su
   1 Accessibility	links
   1 Acaba	de
   1 84	diputados
   1 46	Pero
   1 44330520	Acerca
   1 2018	perder
   1 2018	Comparte
   1 2018	BBC
   1 2016	y
   1 2016	Del
   1 2015	y
   1 2015	en
   1 2011	Sin
   1 1	de
