   5 PSE	EE
   4 En	directo
   3 en	directo
   3 del	PSE
   3 de	los
   3 de	la
   3 Partido	Socialista
   3 La	candidata
   3 Estados	Unidos
   2 zuzenean_gaztea	png
   2 y	el
   2 y	Pacheco
   2 un	Partido
   2 su	mandato
   2 se	encuentra
   2 que	ha
   2 que	Navarra
   2 png	zuzenean_gaztea
   2 noticias	de
   2 no	necesita
   2 las	elecciones
   2 fin	de
   2 euskaraz	ikusi
   2 eu	es
   2 es	en
   2 en	la
   2 en	fr
   2 en	el
   2 de	fin
   2 arranca	la
   2 afirma	que
   2 a	lehendakari
   2 Socialista	fuerte
   2 Publicidad	Publicidad
   2 Navarra	se
   2 Mensaje	de
   2 Mendia	ha
   2 Logotipo	EITB
   2 Laguardia	y
   2 Idoia	Mendia
   2 Euskadi	no
   2 Euskadi	necesita
   2 Elecciones	Estados
   2 El	PSE
   2 Edukia	euskaraz
   2 EITB	Ikonoa
   2 EE	arranca
   2 Cargando	lo
   2 Barkos	afirma
   2 BUTTON	HVN
   1 zuzenean_radiovitoria	png
   1 zuzenean_radioeuskadi	png
   1 zuzenean_radio_euskadi_plus	png
   1 zuzenean_euskadiirratia	png
   1 zuzenean_euskadi_irratia_plus	png
   1 zuzenean_eitbmusika	png
   1 y	una
   1 y	libertades
   1 y	en
   1 y	ciudades
   1 y	cargos
   1 y	a
   1 y	Precisamente
   1 y	Natalia
   1 y	Forales
   1 y	Edukia
   1 www	googletagmanager
   1 whatbrowser	org
   1 web	Versiones
   1 violencia	sexista
   1 ver	Elecciones
   1 vascos	de
   1 vascos	Mendia
   1 vasco	surcando
   1 una	noches
   1 una	mejor
   1 una	aseverado
   1 un	hombre
   1 un	gobierno
   1 un	frente
   1 un	barco
   1 twitter	instagram
   1 twitt	Enviar
   1 tu	navegador
   1 transparencia	y
   1 todos	los
   1 tira_zuzenean_etbsat	png
   1 tira_zuzenean_etb2	png
   1 tira_zuzenean_etb1	png
   1 tiempoflecha	Equipo
   1 tenga	impone
   1 temas	o
   1 television	radio
   1 te	temas
   1 tanto	de
   1 sus	derechos
   1 surcando	la
   1 su	pareja
   1 su	de
   1 su	apoyo
   1 su	antecesor
   1 socialistas	tanto
   1 socialista	ha
   1 sexista	y
   1 selecciona	BUTTON
   1 retirado	de
   1 responsabilizado	al
   1 repetir	que
   1 reforma	de
   1 recomendamos	que
   1 radio	Publicidad
   1 que	tenga
   1 que	es
   1 que	en
   1 que	el
   1 que	actualices
   1 que	Gobierno
   1 que	Euskadi
   1 punto	de
   1 publisher	p
   1 pse	idoia
   1 progresistas	y
   1 productoras	Sala
   1 problemas	de
   1 presidente	del
   1 prensa	EiTB
   1 portal	en
   1 porque	Euskadi
   1 por	eso
   1 por	agredir
   1 png	zuzenean_radiovitoria
   1 png	zuzenean_radioeuskadi
   1 png	zuzenean_euskadi_irratia_plus
   1 png	zuzenean_eitbmusika
   1 png	tira_zuzenean_etbsat
   1 png	tira_zuzenean_etb2
   1 png	portal
   1 png	emisiones
   1 png	Whatsapp
   1 png	Radio
   1 png	BUTTON
   1 play_gris_grupohome	png
   1 pixel	png
   1 personal	de
   1 parlamentario	Necesitamos
   1 pareja	en
   1 paralizado	durante
   1 para	todos
   1 para	los
   1 para	las
   1 para	evitar
   1 para	disfrutar
   1 para	darle
   1 p	c1
   1 org	BUTTON
   1 o	selecciona
   1 o	o
   1 o	el
   1 o	copiar_enlace
   1 o	Whatsapp
   1 o	Twitter
   1 o	Si
   1 o	PSE
   1 o	Noticias
   1 o	Facebook
   1 o	Email
   1 o	Elecciones
   1 nuevo	presidente
   1 nuestra	web
   1 ns	html
   1 noticias	deportes
   1 noticias	Violencia
   1 noticias	Tiempo
   1 noticias	Mensaje
   1 noticias	Las
   1 noticias	Elecciones
   1 noticia	Barkos
   1 not	implemented
   1 noches	de
   1 necesita	una
   1 necesita	un
   1 necesita	Euskadi
   1 necesita	Escuchar
   1 navegador	para
   1 navegador	a
   1 nahieran	Buscar
   1 nacionalistas	en
   1 miembros	GRUPO
   1 mendia	efe_foto610x342
   1 mejora	de
   1 mejor	experiencia
   1 mandato	la
   1 mandato	Laguardia
   1 machista	Detenido
   1 machismo	ha
   1 lupa	abrir
   1 los	vascos
   1 los	socialistas
   1 los	progresistas
   1 los	nacionalistas
   1 los	ciudadanos
   1 lo	que
   1 lo	cookies
   1 lo	Cargando
   1 lista	Susana
   1 libertades	En
   1 lehendakari	del
   1 lehendakari	Idoia
   1 legislatura	para
   1 las	noticias
   1 las	escuelas
   1 las	cabezas
   1 la	violencia
   1 la	transparencia
   1 la	reforma
   1 la	para
   1 la	o
   1 la	mejora
   1 la	las
   1 la	insistencia
   1 la	entrada
   1 la	con
   1 la	WEB
   1 la	RGI
   1 la	Mendia
   1 la	La
   1 la	El
   1 la	Bilbao
   1 la	BUTTON
   1 junto	a
   1 jpg	play_gris_grupohome
   1 instagram	tira_zuzenean_etb1
   1 insistencia	de
   1 indartsua	behar
   1 impone	la
   1 implemented	________
   1 ikusi	o
   1 ikusi	Inicio
   1 idoia	mendia
   1 id	GTM
   1 html	id
   1 hoy	en
   1 hora	de
   1 hombre	por
   1 hiru3	app
   1 hacer	el
   1 hace	falta
   1 haber	paralizado
   1 ha	responsabilizado
   1 ha	estado
   1 ha	criticado
   1 ha	considerado
   1 ha	asumido
   1 ha	afirmado
   1 googletagmanager	com
   1 gobierno	que
   1 goazen	eu
   1 general	para
   1 gaztea	app
   1 futuro	noticias
   1 futuro	Relacionados
   1 funciones	de
   1 fuerte	porque
   1 fuerte	AGENCIAS
   1 frente	un
   1 frente	a
   1 fr	X
   1 fr	Logotipo
   1 flecha	Sociedad
   1 favor	de
   1 falta	un
   1 facebook	twitter
   1 experiencia	de
   1 evitar	problemas
   1 eus	____________________
   1 estado	candidatos
   1 esta	legislatura
   1 especiales	zuzenean_radio_euskadi_plus
   1 eso	hace
   1 escuelas	la
   1 es	noticia
   1 es	hora
   1 es	el
   1 entzun	Mendia
   1 entre	ellos
   1 entrada	de
   1 encuentro	para
   1 encuentra	futuro
   1 encuentra	afrontar
   1 en	un
   1 en	repetir
   1 en	general
   1 en	esta
   1 en	eitb
   1 en	Vitoria
   1 en	Bilbao
   1 emisiones	especiales
   1 ellos	su
   1 elecciones	de
   1 elecciones	al
   1 elecciones	Generales
   1 el	que
   1 el	punto
   1 el	noticias
   1 el	navegador
   1 el	machismo
   1 el	futuro
   1 el	compromiso
   1 el	avance
   1 el	Partido
   1 el	Parlamento
   1 el	PSE
   1 el	Mundial
   1 eitb	eus
   1 eitb	app
