  22 10	2016
  20 21	10
  10 eldiario	es
   7 de	la
   7 a	la
   5 2016	20
   5 2016	19
   4 que	se
   4 los	que
   4 lo	que
   4 de	una
   4 Tribuna	Abierta
   4 Compartir	en
   4 Ana	Botella
   3 y	en
   3 un	gobierno
   3 si	se
   3 los	de
   3 gobierno	de
   3 el	Parlamento
   3 del	PSOE
   3 de	un
   3 a	pagar
   3 _______________________________________________________________________	_______________________________________________________________________
   3 2016	18
   3 2016	17
   2 y	siete
   2 y	el
   2 y	Ciudadanos
   2 volver	a
   2 vender	pisos
   2 un	nuevo
   2 un	informe
   2 tribuna	juras
   2 tienes	que
   2 sumado	Vox
   2 su	programa
   2 su	Gobierno
   2 sin	tribuna
   2 siete	cargos
   2 secretarios	generales
   2 se	cumplido
   2 revisar	su
   2 recurre	a
   2 rechazar	la
   2 que	sean
   2 que	no
   2 que	la
   2 que	exculpa
   2 que	es
   2 promesas	sin
   2 programa	de
   2 preguntas	que
   2 por	vender
   2 por	eldiario
   2 por	acosarla
   2 policial	que
   2 pixel	gif
   2 para	paella
   2 pagar	25
   2 nuevo	gobierno
   2 millones	por
   2 medio	de
   2 la	que
   2 la	gente
   2 la	Primera
   2 la	Audiencia
   2 juras	por
   2 informe	policial
   2 gif	category
   2 exculpa	a
   2 es	eldiario
   2 es	Zona
   2 en	la
   2 en	el
   2 en	Twitter
   2 en	Facebook
   2 en	Daniel
   2 el	archivo
   2 el	PP
   2 durante	la
   2 doctora	Pinto
   2 derecha	Carlos
   2 del	gobierno
   2 del	PP
   2 de	su
   2 de	que
   2 de	los
   2 de	las
   2 de	esas
   2 de	diciembre
   2 de	Rajoy
   2 de	Madrid
   2 de	Gobierno
   2 cumplido	Ana
   2 cuestiona	un
   2 condenados	a
   2 con	sus
   2 comentar	tienes
   2 chorizo	para
   2 cargos	de
   2 bronca	en
   2 asegura	que
   2 archivo	a
   2 andaluz	promesas
   2 al	PSOE
   2 acosarla	La
   2 aceptan	revisar
   2 a	por
   2 ____________________	Buscar
   2 Zona	La
   2 Y	eso
   2 Vox	PP
   2 Twitter	Telegram
   2 The	Guardian
   2 Primera	bronca
   2 Pinto	recurre
   2 Parlamento	andaluz
   2 PUBLICIDAD	PUBLICIDAD
   2 PP	y
   2 Madrid	cuestiona
   2 La	doctora
   2 La	derecha
   2 La	Audiencia
   2 Hazte	socio
   2 Gobierno	en
   2 Gobierno	condenados
   2 Facebook	Twitter
   2 Facebook	Compartir
   2 Enviar	comentario
   2 El	equipo
   2 Daniel	Cela
   2 Cultura	Desalambre
   2 Ciudadanos	aceptan
   2 Cambio	del
   2 Botella	y
   2 Botella	asegura
   2 Audiencia	el
   2 Audiencia	de
   2 Antonio	durante
   2 42h	Compartir
   2 28	de
   2 25	millones
   2 22	10
   2 2016	22
   2 2016	21
   2 17	42h
   1 youtube	com
   1 yo	Retrones
   1 ya	esta
   1 ya	Si
   1 ya	Para
   1 y	unos
   1 y	tan
   1 y	su
   1 y	sobra
   1 y	se
   1 y	queda
   1 y	que
   1 y	pacta
   1 y	otras
   1 y	mejores
   1 y	los
   1 y	libertades
   1 y	la
   1 y	dimitan
   1 y	de
   1 y	al
   1 y	acepta
   1 y	Rubalcaba
   1 y	Humillado
   1 y	Castilla
   1 y	Almudena
   1 y	2
   1 www	youtube
   1 www	googletagmanager
   1 watch	v
   1 vuestros	votos
   1 vuestros	gestores
   1 votos	que
   1 votos	a
   1 votos	18
   1 voto	a
   1 votaros	14
   1 votantes	del
   1 votantes	de
   1 votante	medio
   1 votante	del
   1 vosotros	sois
   1 vista	para
   1 vez	se
   1 vez	de
   1 vergonzosamente	beligerantes
   1 veremos	rechazar
   1 vayan	a
   1 van	de
   1 van	a
   1 valores	sociales
   1 valenciana	Miguel
   1 va	a
   1 v	lENcxeLGGIo
   1 uso	Comentar
   1 uploademail	11
   1 unos	gastos
   1 unos	comience
   1 universidades	agentes
   1 unas	nuevas
   1 una	simple
   1 una	pregunta
   1 una	pista
   1 una	carta
   1 una	base
   1 una	Puerta
   1 una	PSOE
   1 una	Militante
   1 una	7
   1 una	2
   1 un	presente
   1 un	espacio
   1 un	error
   1 un	email
   1 un	congreso
   1 un	comunicado
   1 un	Pueblo
   1 un	Por
   1 tumba	la
   1 tu	correo
   1 tu	comentario
   1 tu	apoyo
   1 trataba	de
   1 transfuguismo	por
   1 trabajando	para
   1 tomarnos	por
   1 tomar	decisiones
   1 tomado	parte
   1 todos	interesante
   1 todo	y
   1 tirase	nuestro
   1 tiene	que
   1 tiempo	querer
   1 tiempo	Por
   1 tendremos	que
   1 tarde	para
   1 tan	felones
   1 susanazo	nunca
   1 sus	votos
   1 sus	puertas
   1 supongan	la
   1 su	mensaje
   1 su	Todos
   1 sostienen	la
   1 sopistas	clientelismo
   1 son	enviados
   1 solo	le
   1 solo	cabe
   1 sois	los
   1 socios	as
   1 socios	Revistas
   1 socios	La
   1 socio	Facebook
   1 socio	El
   1 socialistas	ante
   1 socialistas	Granados
   1 socialista	No
   1 sociales	Hazte
   1 sociales	En
   1 sociales	El
   1 social	de
   1 sobre	la
   1 sobre	este
   1 sobra	3
   1 sindicatos	ONG
   1 simple	lucha
   1 siga	gobernando
   1 siempre	decretaron
   1 si	nos
   1 si	los
   1 ser	inferior
   1 ser	Socialistas
   1 senda	de
   1 seguridad	eldiario
   1 seguir	trabajando
   1 seguido	de
   1 secretario	general
   1 sean	los
   1 sean	coherentes
   1 sea	presidente
   1 sea	enterrado
   1 se	vayan
   1 se	va
   1 se	trataba
   1 se	tirase
   1 se	lleva
   1 se	hecho
   1 se	ha
   1 se	divide
   1 se	dice
   1 se	dan
   1 se	consuma
   1 se	al
   1 se	agota
   1 salir	cara
   1 salido	7
   1 rositas	mordaza
   1 respuestas	a
   1 responsables	de
   1 responde	FAQs
   1 registrarte	Si
   1 regiones	y
   1 refiero	a
   1 redes	sociales
   1 redes	Facebook
   1 recoger	los
   1 rechazamos	que
   1 realizar	un
   1 razones	de
   1 raurgo	21
   1 rand	1931189211
   1 rand	1503524036
   1 quiebra	28
   1 querer	con
   1 quedaban	dudas
   1 queda	una
   1 queda	alguna
   1 quebrada	por
   1 que	ya
   1 que	van
   1 que	unas
   1 que	supongan
   1 que	sostienen
   1 que	siga
   1 que	seguir
   1 que	registrarte
   1 que	por
   1 que	piensas
   1 que	multimillonario
   1 que	mentira
   1 que	les
   1 que	le
   1 que	juzguen
   1 que	intermediar
   1 que	inducen
   1 que	hace
   1 que	faltan
   1 que	esos
   1 que	en
   1 que	el
   1 que	dicen
   1 que	dentro
   1 que	debemos
   1 que	confirmar
   1 que	buscador
   1 que	al
   1 que	ahora
   1 que	Rajoy
   1 que	Podemos
   1 que	NO
   1 que	Franco
   1 que	Dacsa
   1 puntos	de
   1 puertas	giratorias
   1 puede	salir
   1 puede	disolver
   1 proyecto	de
   1 produjo	un
   1 principalmente	y
   1 presidentes	de
   1 presidente	del
   1 presidente	causas
   1 presente	que
   1 preguntas	y
   1 preguntas	ahora
   1 pregunta	basta
   1 pregunta	algunos
   1 posible	que
   1 por	redes
   1 por	rechazamos
   1 por	razones
   1 por	que
   1 por	la
   1 por	favor
   1 por	el
   1 por	ejemplo
   1 por	barones
   1 por	antonomasia
   1 por	Relevancia
   1 poder	poca
   1 poder	en
   1 poder	comentar
   1 poca	gente
   1 plato	de
   1 pista	Buscador
   1 pisos	sumado
   1 pisos	Antonio
   1 piramidal	por
   1 pinza	contra
   1 piensas	que
   1 pesada	carga
   1 personal	de
   1 peronista	que
   1 pero	si
   1 pero	lo
   1 pero	al
   1 perfil	Preguntas
   1 pepero	YA
   1 peor	un
   1 pensiones	se
   1 pendientes	son
   1 payos	Me
   1 patriotas	los
   1 partidos	sindicatos
   1 partido	socialista
   1 partido	si
   1 partido	piramidal
