   9 biil	shiist
   8 Usii	novini
   7 novini	rozdiilu
   6 27	12
   5 v	parlamentii
   4 zhittievo	vazhlivih
   4 z	IES
   4 vazhlivih	zmiin
   4 koyu	movoyu
   4 biil	sh
   4 angliijs	koyu
   4 Plakala	angliijs
   4 16	27
   4 12	15
   3 zmiinili	pravila
   3 vstupu	v
   3 vihodu	z
   3 vidachu	gromadyanstva
   3 v	uniiversiteti
   3 u	parlamentii
   3 sya	v
   3 sprostili	vidachu
   3 pravila	vstupu
   3 perevagi	v
   3 oznachati	scho
   3 oskiil	ki
   3 o	U
   3 miisc	perevagi
   3 gromadyanstva	etniichnim
   3 etniichnim	rosiiyanam
   3 bude	oznachati
   3 biil	shostii
   3 ____________________________________________________________	____________________________________________________________
   3 ____________________	____________________
   3 Velikiij	Britaniiyi
   3 V	Ukrayinii
   3 Ukrayinii	zmiinili
   3 U	Rosiiyi
   3 Rosiiyi	sprostili
   3 Kul	tura
   3 Arhiiv	nomeriiv
   3 5	zhittievo
   3 28	grudnya
   3 27	o
   3 2019	5
   3 12	16
   2 zrozumiiti	scho
   2 zaspiivav	hiit
   2 zaspiivala	Plakala
   2 z	nih
   2 z	Urugvaiem
   2 z	Krimom
   2 yiyi	liiderstvo
   2 vvazhaie	poliitolog
   2 viidbudet	sya
   2 viid	togo
   2 vihodu	Britaniiyi
   2 viborah	ostannie
   2 v	ukrayins
   2 v	parlament
   2 v	p
   2 uniiversiteti	16
   2 ukrayins	kiij
   2 u	Velikiij
   2 turii	Poroshenko
   2 tura	Sport
   2 togo	schob
   2 sya	na
   2 supernikiiv	na
   2 sterliingiiv	pochne
   2 socopituvannya	roku
   2 shostii	supernikiiv
   2 shiist	u
   2 shiist	ale
   2 sformuvati	uryad
   2 scho	yiyi
   2 scenariij	konservatori
   2 rosiiyanam	17
   2 rezul	tat
   2 prokomentuvalo	budiivnictvo
   2 prograie	biil
   2 problem	z
   2 poviidomlyalosya	scho
   2 pochav	zblizhennya
   2 peregovorah	z
   2 partiiyi	vladi
   2 partiiya	Lejboristiiv
   2 parlaments	ku
   2 parlaments	kii
   2 parkanu	na
   2 p	yatnicyu
   2 p	yat
   2 ostannie	socopituvannya
   2 neviidomii	napali
   2 napali	na
   2 nabude	chinnostii
   2 nablizhaiet	sya
   2 na	viborah
   2 na	admiinkordonii
   2 na	Podolii
   2 movoyu	Gurt
   2 menshe	niizh
   2 lishit	sya
   2 kul	turii
   2 ku	biil
   2 kiil	ka
   2 kiij	kul
   2 kii	vibori
   2 ka	partiiya
   2 iimersivnu	vistavu
   2 hiit	Plakala
   2 grudnya	11
   2 funt	sterliingiiv
   2 drugomu	turii
   2 dostrokovii	parlaments
   2 dlya	togo
   2 ce	bude
   2 budiivnictvo	parkanu
   2 britans	ka
   2 ale	matimut
   2 admiinkordonii	z
   2 a	takozh
   2 YUriij	Butusov
   2 Vipusk	No
   2 Viiktor	Trepak
   2 Ukrayina	Sviit
   2 U	drugomu
   2 Tetyana	Orlova
   2 Terezi	Mej
   2 Tereza	Mej
   2 Tehnologiiyi	Kul
   2 Teatr	na
   2 Sviit	Tehnologiiyi
   2 Stattya	Vam
   2 Raniishe	poviidomlyalosya
   2 Poroshenko	prograie
   2 Poliitika	Ekonomiika
   2 Podolii	gotuie
   2 Piidtrimati	ZN
   2 Oleksandr	Rudyachenko
   2 Oleksandr	Liemienov
   2 Oleg	Sencov
   2 Novini	kompaniij
   2 No	50
   2 New	Horizons
   2 Nensii	Grejs
   2 MZS	prokomentuvalo
   2 Levic	kij
   2 Len	proviiv
   2 Krimu	Ukrayina
   2 Krimom	17
   2 KAZKA	zaspiivav
   2 KAZKA	zaspiivala
   2 IES	Ale
   2 Horizons	pochav
   2 Gurt	KAZKA
   2 Grejs	Roman
   2 Elektronna	poshta
   2 Ekonomiika	Ukrayina
   2 Dmitro	Mendelieiev
   2 Dmitro	Levic
   2 DT	UA
   2 CHitajte	takozh
   2 Britans	kij
   2 Brexit	bude
   2 Avtor	Oleksandr
   2 Avtor	Dmitro
   2 50	miisc
   2 50	28
   2 2019	go
   2 17	35
   2 17	17
   2 11	siichnya
   1 zvinuvativ	specprokurora
   1 zvernuvshi	uvagu
   1 zvanogo	poganogo
   1 zrozumiiie	scho
   1 zrostut	oskiil
   1 zroste	P
   1 zrostati	cherez
   1 zrosli	biil
   1 zroblenii	ale
   1 zrobit	vazhkij
   1 zrobit	neprostim
   1 znischennii	dokaziiv
   1 znayuchi	scho
   1 zn94	ukr
   1 zn	ua
   1 zmozhe	skazati
   1 zmozhe	provesti
   1 zmozhe	piiti
   1 zmogli	zrozumiiti
   1 zmogla	v
   1 zmiiniti	napryamok
   1 zmiinit	v
   1 zmiinili	ton
   1 zmiin	Reforma
   1 zmiin	Oboronne
   1 zmiin	CHotiri
   1 zmiin	Armiiya
   1 zmiig	potrapiti
   1 zmiicnitisya	zalezhno
   1 zmenshivshi	viidriv
   1 zlovzhivan	monopol
   1 ziirkami	sviitovogo
   1 zii	svoieyu
   1 zhovtnii	Match
   1 zhorstkih	zahodiiv
   1 zhodnii	postupki
   1 zhittya	mati
   1 zh	vlasnii
   1 zh	v
   1 zdobuv	peremogu
   1 zdobudut	vpevnenu
   1 zdobude	biil
   1 zblizhennya	zii
   1 zblizhennya	z
   1 zbiil	shiv
   1 zberezhennya	dostupu
   1 zberegla	svoyu
   1 zayaviv	pro
   1 zayavili	scho
   1 zavoyuvav	titul
   1 zavoyuvav	chempiions
   1 zavershila	riik
   1 zavdali	tiilesnii
   1 zatverdiv	ugodu
   1 zatrimannya	Onischenko
   1 zaruchniki	Niimechchina
   1 zapustiti	antikorupciijnu
   1 zapisu	Zareiestrujtesya
   1 zamovlennya	maie
   1 zamkombata	Tornado
   1 zamiiniti	konservativnij
   1 zalezhno	viid
   1 zalezhati	viid
   1 zajnyatij	vnutriishn
   1 zahodiiv	ekonomiiyi
   1 zahistiv	titul
   1 zahistiti	bachennya
   1 zabezpechiti	sobii
   1 za	rahunok
   1 za	potriibne
   1 za	odin
   1 za	nezakonnii
   1 za	mezhii
   1 za	dva
   1 za	datoyu
   1 za	avtorom
   1 z	ziirkami
   1 z	zhittya
   1 z	yavit
   1 z	uel
   1 z	siim
   1 z	proievropejs
   1 z	posilannyam
   1 z	posadi
   1 z	partiiyi
   1 z	organiizaciiyi
   1 z	ob
   1 z	nirkami
   1 z	metoyu
   1 z	mensh
   1 z	grupoyu
   1 z	druzyami
   1 z	biil
   1 z	bezpekoyu
   1 z	Uniiversitetu
   1 z	IEvrosoyuzom
   1 z	Bryusselem
   1 yu	SHukati
   1 yu	Arhiiv
   1 yiyi	poziciiyi
   1 yiyi	piidtrimcii
   1 yiyi	partiiya
   1 yiyi	mozhlivostii
   1 yiyi	mishkoyu
   1 yiyi	liiderstva
   1 yiyi	kritiki
   1 yim	robiti
   1 yij	mozhliviist
   1 yazkove	pryame
   1 yavit	sya
   1 yatnicyu	vrancii
   1 yatnicyu	SSHA
   1 yatij	scenariij
   1 yat	zhittievo
   1 yat	golovnih
   1 yaskravij	match
   1 yardiiv	griven
   1 yardi	na
   1 yakscho	Britaniiya
   1 yakogo	vihodu
   1 yakij	osviitiv
   1 yakij	Mej
   1 yakiij	formii
   1 yakii	piidtrimuvali
   1 yak	vona
   1 yak	trejderi
   1 yak	43
   1 yak	100
   1 vzyali	chenciiv
   1 vzhe	davno
   1 vzhe	dala
   1 vzhe	cherez
   1 vzaiemne	skasuvannya
   1 vvede	sankciiyi
   1 vvazhati	Nasiirova
   1 vvazhaie	za
   1 vvazhaie	napad
   1 vvazhaie	Grant
   1 vul	Moskovska
   1 vtratiti	biil
   1 vsya	strategiiya
   1 vrancii	zrozumiiie
   1 vplivaie	stres
   1 vpevnenu	parlaments
   1 voroga	27
   1 voni	pochnut
   1 vona	vvazhaie
   1 vona	mozhe
   1 vona	bude
   1 voda	mozhe
   1 vnutriishn	oyu
   1 vlasnii	odnopartiijcii
   1 vladi	zmenshivshi
   1 vladi	klanu
   1 vladi	Raniishe
   1 vitratiti	dodatkovii
   1 vistavu	U
   1 vistavu	Teatr
   1 vipustili	v
   1 viplati	A
   1 vinesene	za
   1 vikoristati	ce
   1 viklikati	hvorobi
   1 viiz	Kabmiin
   1 viitchiznyanomu	prokatii
   1 viirogiidno	sprobuie
   1 viirogiidnim	vvazhaie
   1 viirogiidniist	togo
   1 viirogiidnih	scenariiyiv
   1 viirnih	deputatiiv
   1 viin	unikav
   1 viin	piishov
   1 viijni	naviit
   1 viidtvorennyu	ta
   1 viidstoronennya	viid
   1 viidstavannya	viid
   1 viidriv	viid
   1 viidriv	do
   1 viidreaguyut	voni
   1 viidpoviidii	V
   1 viidomstva	Oliigarhi
   1 viidnovlyuvatisya	v
   1 viidmovilisya	vvazhati
   1 viidkrite	dlya
   1 viidklasti	datu
   1 viidkladenij	schob
   1 viidkladenii	Uryadi
   1 viidhiliv	apelyaciiyu
   1 viideo	v
   1 viideo	Specproekti
   1 viidchajdushnii	sprobi
   1 viidbudut	sya
   1 viidboru	na
   1 viid	vladi
   1 viid	pochatku
   1 viid	partiiyi
   1 viid	Konservatoriiv
   1 viicii	93
   1 vihiid	hocha
   1 vigrav	klubnij
   1 vigiidnu	spiivpracyu
   1 vidan	obov
   1 viboriiv	v
   1 viboriiv	stali
   1 vibori	viidbudut
   1 vibori	na
   1 vibori	dlya
   1 vibori	Za
   1 viborciiv	na
   1 viborah	skazav
   1 versiiya	Stara
   1 velikij	uspiih
   1 vdarili	po
   1 vchenii	Al
   1 vbivstvii	Oleshka
   1 vazhlivii	novini
   1 vazhkij	Brexit
   1 valyuta	tezh
   1 vadoru	Gvatemalii
   1 v	umovah
   1 v	sviitii
   1 v	subotu
   1 v	statusii
   1 v	siichnii
   1 v	rosiijs
   1 v	prajm
   1 v	peregovorah
   1 v	okupovanomu
   1 v	obmiin
   1 v	najblizhchii
   1 v	miigraciijniij
