   5 ukr	lb
   5 lb	ua
   5 http	ukr
   5 biil	sh
   5 Verhovnoyi	Radi
   4 ob	iednannya
   4 Volodimir	Goshovs
   4 Goshovs	kij
   3 ua	society
   3 society	2018
   3 sh	niizh
   3 partiiyi	Ukrayini
   3 nyj	geroj
   3 narodov	Kavkaza
   3 narodnij	deputat
   3 na	toj
   3 i	Kiev
   3 geroj	narodov
   3 ale	j
   3 ____________________________________________________________	____________________________________________________________
   3 Oleksandr	Moroz
   3 Nacional	nyj
   3 LB	ua
   3 Kavkaza	i
   3 INS	INS
   3 Galina	Hejlo
   3 2018	12
   2 zusillya	z
   2 znakovimi	podiiyami
   2 ziibrannya	na
   2 zhiznennogo	puti
   2 zayaviv	pro
   2 zapusk	v
   2 zamiist	problemnogo
   2 zajnyali	biil
   2 za	rosiijs
   2 za	dva
   2 z	predstavnikami
   2 z	Naftogazom
   2 yuridichnih	nauk
   2 yaka	perejshla
   2 vuz	zamiist
   2 vryatuvali	ekonomiiku
   2 voni	oberut
   2 viijni	z
   2 viidpoviidal	niist
   2 viidmiinu	viid
   2 viid	UPC
   2 viborchoyu	kampaniiieyu
   2 versiiyi	WBA
   2 v	ukrayins
   2 v	centrii
   2 v	Ukrayinii
   2 v	Ukraine
   2 v	PCU
   2 uspiishniishii	za
   2 ukrayins	koyu
   2 ukrayins	komu
   2 ukrayins	kii
   2 u	versiiyi
   2 u	riichnomu
   2 tura	Cviit
   2 top	40
   2 toj	moment
   2 tiil	ki
   2 svoboda	dlya
   2 sviitu	u
   2 stvoriv	novij
   2 stvo	Kul
   2 spiivaka	Dzidzio
   2 socopituvannya	pered
   2 sebe	viidpoviidal
   2 samyh	interesnyh
   2 rosiijs	kih
   2 rocii	z
   2 riichnomu	top
   2 rezul	tatii
   2 radyans	koyi
   2 puti	legendarnogo
   2 projde	ieparhiial
   2 problemnogo	ONMedU
   2 pro	zapusk
   2 pro	pogrozi
   2 priblizhayuschejsya	krugloj
   2 pravoslavnih	SCHo
   2 poyasniv	chomu
   2 polovinu	miisc
   2 poliitichnoyi	sili
   2 pogrozi	viid
   2 pobili	aktora
   2 piidtrimku	mitropolita
