   6 ob	iednannya
   5 ukr	lb
   5 lb	ua
   5 http	ukr
   4 rezul	tatii
   4 pro	ob
   4 Volodimir	Goshovs
   4 Verhovnoyi	Radi
   4 Rud	kovs
   4 Radi	Ukrayini
   4 Goshovs	kij
   3 v	Ukrayinii
   3 ua	society
   3 tiil	ki
   3 society	2018
   3 nyj	geroj
   3 narodov	Kavkaza
   3 mensh	niizh
   3 kovs	kogo
   3 kih	viborah
   3 i	Kiev
   3 geroj	narodov
   3 do	togo
   3 ____________________________________________________________	____________________________________________________________
   3 Sociialiistichnoyi	partiiyi
   3 Oleksandru	Morozu
   3 Oleksandr	Moroz
   3 Nacional	nyj
   3 LB	ua
   3 Kavkaza	i
   3 INS	INS
   3 2018	12
   3 2011	roku
   3 2002	roku
   2 ziibrannya	na
   2 zhiznennogo	puti
   2 zayaviv	pro
   2 zapusk	v
   2 zamiist	problemnogo
   2 zajnyali	biil
   2 za	rosiijs
   2 za	riik
   2 za	dva
   2 z	yizd
   2 z	boku
   2 z	Naftogazom
   2 yuridichnih	nauk
   2 yizd	SPU
   2 yaka	perejshla
   2 vzhe	za
   2 vuz	zamiist
   2 vryatuvali	ekonomiiku
   2 voni	oberut
   2 viijni	z
   2 viidmiinu	viid
   2 viiddali	golosi
   2 viid	UPC
   2 viborchoyu	kampaniiieyu
   2 versiiyi	WBA
   2 v	centrii
   2 v	Ukraine
   2 v	PCU
   2 uspiishniishii	za
   2 ukrayins	koyu
   2 ukrayins	kii
   2 uchast	u
   2 u	versiiyi
   2 u	riichnomu
   2 u	rezul
   2 u	lipnii
   2 u	2018
   2 tura	Cviit
   2 top	40
   2 toj	moment
   2 tat	sociialiistiiv
   2 svoboda	dlya
   2 sviitu	u
   2 stvoriv	novij
   2 stvo	Kul
   2 spiivaka	Dzidzio
   2 socopituvannya	pered
   2 sociialiistiiv	z
   2 sh	niizh
   2 samyh	interesnyh
   2 rosiijs	kih
   2 roki	do
   2 riichnomu	top
   2 rezul	tatiiv
   2 puti	legendarnogo
   2 projde	ieparhiial
   2 problemnogo	ONMedU
   2 pro	zapusk
   2 pro	pogrozi
   2 priblizhayuschejsya	krugloj
   2 prezidents	kih
   2 pravoslavnih	SCHo
   2 poza	mezhami
   2 poyasniv	chomu
   2 polovinu	miisc
   2 pogrozi	viid
   2 pobili	aktora
   2 piidtrimku	mitropolita
   2 piid	chas
   2 piiceriij	ogolosila
   2 perejshla	v
   2 pered	viborchoyu
   2 partiiyi	u
   2 parlaments	kih
   2 parafiiyi	yaka
   2 ostannii	socopituvannya
   2 opinilis	poza
   2 ogolosila	pro
   2 oberut	Moskvu
   2 novij	vuz
   2 niizh	za
   2 niizh	polovinu
   2 nic	kij
   2 ne	ziibrannya
   2 ne	bazhayuchi
   2 nauk	narodnij
   2 narodnij	deputat
   2 na	viidmiinu
   2 na	toj
   2 na	sajte
   2 na	piidtrimku
   2 na	cholii
   2 n	ogo
   2 movoyu	zajnyali
   2 mitropolita	Onufriiya
   2 mitropolit	zayaviv
   2 miisc	u
   2 merezha	piiceriij
   2 malo	izvestnyh
   2 liivih	sil
   2 liivih	ii
   2 liidera	sociialiistiiv
   2 legendarnogo	gorca
   2 krugloj	afganskoj
   2 koyu	movoyu
   2 kij	mitropolit
   2 kij	chempiion
   2 kij	Volodimir
   2 kij	Doktor
   2 kiij	oblastii
   2 kii	bokseri
   2 kih	sil
   2 kih	pravoslavnih
   2 ka	merezha
   2 izvestnyh	v
   2 interesnyh	i
   2 iiniiciiatorom	viijni
   2 ii	spiivaka
   2 ieparhiial	ne
   2 iednannya	liivih
   2 i	malo
   2 golosiiv	ii
   2 etapah	zhiznennogo
   2 ekonomiiku	Ukrayini
   2 dva	roki
   2 dostrokovih	viborah
   2 do	skladu
   2 dlya	sociialiistiiv
   2 dlya	biilorus
   2 diiyal	niist
   2 deputat	Ukrayini
   2 chomu	ukrayins
   2 chi	avtokefaliiyu
   2 chempiion	sviitu
   2 centrii	Kiieva
   2 c	ogo
   2 buv	iiniiciiatorom
   2 bokseri	uspiishniishii
   2 biilorus	kih
   2 biil	sh
   2 bez	Kuchmi
   2 bagatoriichnogo	liidera
   2 azh	11
   2 alternate	alternate
   2 aktora	ii
   2 afganskoj	godovschine
   2 a	j
   2 WBA	poyasniv
   2 Volodimir	Prokopiiv
   2 Ukrayini	4
   2 Ukrayina	bez
   2 Ukraine	etapah
   2 UPC	MP
   2 U	Kiievii
   2 Sulima	Nacional
   2 Sport	Like
   2 Sergej	Sulima
   2 SCHo	voni
   2 Rosiijs	kij
   2 Rosiijs	ka
   2 Publiikaciiyi	Blogi
   2 Prokopiiv	Kiyiv
   2 Pravo	mami
   2 Poliitika	Ekonomiika
   2 Piisnii	ukrayins
   2 Oprilyudneno	ostannii
   2 Oleksandra	Moroza
   2 O	samyh
   2 Neviidomii	pobili
   2 Nespodiivana	svoboda
   2 Moskvu	Kiyiv
   2 MP	parafiiyi
   2 Kul	tura
   2 Kiyiv	chi
   2 Kiyiv	buv
   2 Kiievii	projde
   2 Kiev	O
   2 Kabmiin	stvoriv
   2 K	priblizhayuschejsya
   2 Hmel	nic
   2 Golovi	Verhovnoyi
   2 Foto	Viideo
   2 Facebook	Twitter
   2 Ekonomiika	Cuspiil
   2 Dzidzio	v
   2 Doktor	yuridichnih
   2 Cviit	Sport
   2 Cuspiil	stvo
   2 7	golosiiv
   2 4	sklikannya
   2 2013	roku
   2 2012	roku
   2 2007	roku
   1 zvinuvachen	nezmiinnogo
   1 zviitom	Golovi
   1 zviit	pro
   1 zvernutis	do
   1 zustriichej	peregovoriiv
   1 zusillyam	yakogo
   1 zrobleno	pravil
   1 zrobiv	u
   1 zrobiti	resociialiizaciiyu
   1 zradnikom	Moroza
   1 zovsiim	iinshii
   1 zovatel	skoe
   1 zokrema	bagatoriichnogo
   1 znov	taki
   1 znov	ne
   1 znati	pro
   1 zmusilo	termiinovo
   1 zmushenij	buv
   1 zmushenii	zvernutis
   1 zmiig	zaruchitis
   1 zmagannii	dvoh
   1 zhovtnii	2013
   1 zhorstkogo	stavlennya
   1 zhal	cii
   1 zgodom	piid
   1 zgadati	pro
   1 zemnih	griihah
   1 zdobuv	u
   1 zdobuv	piidtrimku
   1 zdobutogo	piid
   1 zdobutkom	sociialiisti
   1 zazhevriila	nadiiya
   1 zayavu	schodo
   1 zavzhdi	tiil
   1 zavdyaki	shalenim
   1 zavdyaki	komu
   1 zavdannya	al
   1 zastupnika	Golovi
   1 zaschity	personal
   1 zaruchitis	piidtrimkoyu
   1 zarobiitchani	a
   1 zarobiitchan	vryatuvali
   1 zaproponuvav	obrati
   1 zapisi	blogiiv
   1 zapisi	bloga
   1 zapalom	niizh
   1 zanedbanij	stan
   1 zaluchennya	do
   1 zalishki	u
   1 zalishiv	posadu
   1 zalishit	sya
   1 zalishili	YU
   1 zalezhit	chi
   1 zaklyatih	pobratimiiv
   1 zaklikom	pro
   1 zajvim	u
   1 zahist	zavdannya
   1 zahischayut	sya
   1 zahiidnimi	partnerami
   1 zagrozi	poliitichnogo
   1 zagrozi	Blogi
   1 zagal	nogo
   1 zadumane	Nariiman
   1 zadovolennya	viid
   1 zadovol	nyatis
   1 zabuttya	abo
   1 zabula	obstavin
   1 zabrali	2
   1 zaboroneno	DepositPhotos
   1 zabezpechennya	YAkiist
   1 za	zviitom
   1 za	vsyu
   1 za	umovi
   1 za	prezidenststva
   1 za	posadu
   1 za	piivroku
   1 za	n
   1 za	miisyac
   1 za	dopomogoyu
   1 za	chisel
   1 z	zaklikom
   1 z	yizdu
   1 z	yizdii
   1 z	yizdah
   1 z	vladoyu
   1 z	viidomih
   1 z	vesni
   1 z	velikoyi
   1 z	prav
   1 z	pomilkoyu
   1 z	poliitichnoyu
   1 z	pitan
   1 z	nejmoviirnimi
   1 z	ne
   1 z	najstarshih
   1 z	miiniimal
   1 z	lav
   1 z	guchnim
   1 z	ekspertami
   1 z	dvadcyatiriichnim
   1 z	bulavoyu
   1 z	akushers
   1 z	Vadimom
   1 z	Partiiieyu
   1 z	Mirgoroda
   1 z	5
   1 z	306
   1 yizdu	Odnak
   1 yizdii	24
   1 yizdah	zdobuv
   1 yiyi	molodiizhne
   1 yiyi	liideru
   1 yih	aktivnu
   1 yazkove	Peredruk
   1 yatnika	Volodimiru
   1 yate	miisce
   1 yaskravo	oharakterizuvav
   1 yaku	u
   1 yakscho	viin
   1 yakogo	sociialiisti
   1 yakogo	partiiyu
   1 yakim	stav
   1 yakij	tiil
   1 yakij	sche
   1 yakij	piid
   1 yakiij	z
   1 yakii	najbiil
   1 yakih	na
   1 yaka	za
   1 yaka	startuvala
   1 yaka	ne
   1 yak	zrobiti
   1 yak	viyaviv
   1 yak	tut
   1 yak	proti
   1 vzyav	uchast
   1 vzhe	zovsiim
   1 vzhe	u
   1 vzhe	tradiciijnij
   1 vzaiemoviklyuchnimi	Oleksandr
   1 vyborov	2019
   1 vy	podtverzhdaete
   1 vvode	vojsk
   1 vtiishalo	na
   1 vsyu	iistoriiyu
   1 vstignuti	podati
   1 vsiih	zemnih
   1 vsiih	chleniiv
   1 vsii	iinshii
   1 vshanovuyuchi	liikviidatoriiv
   1 vseukrayins	kim
   1 vse	scho
   1 vschent	93
   1 vs	ogo
   1 vpliv	na
   1 vpershe	za
   1 voroga	nomer
   1 voni	opinilis
   1 vojsk	v
   1 vlittya	do
   1 vlasnu	vzhe
   1 vladu	yaku
   1 vladoyu	buli
   1 vladii	tri
   1 vlada	za
   1 vlada	led
   1 vkidiiv	Kremlya
   1 viznavati	zavdyaki
   1 viyavivsya	tretiim
   1 viyavivsya	Ustenko
   1 viyaviv	podal
   1 viyavilisya	vzaiemoviklyuchnimi
   1 viyavilisya	nevdalimi
   1 vivchayuchi	svoyi
   1 vischoyi	osviiti
   1 viriishiv	predstaviti
   1 viriishili	jti
   1 vinovat	i
   1 vinnih	nagovoryuyuchi
   1 vikoristannya	materiialiiv
   1 vikoristannya	2
   1 vikonavchiij	vladii
   1 vikonati	zadumane
   1 viklyuchno	za
   1 viitchiznyanogo	sociialiizmu
   1 viirnii	O
   1 viin	viyavivsya
   1 viin	ne
   1 viin	jogo
   1 viin	ii
   1 viijni	ta
   1 viidviiv	taku
   1 viidtyagnula	na
   1 viidtvorennya	materiialiiv
   1 viidtvorennya	abo
   1 viidsutnostii	fiinansuvannya
   1 viidstupiv	viid
   1 viidstavku	Sociialiistichne
   1 viidrodzhennya	avtoritetu
   1 viidpoviidnimi	ievropejs
   1 viidomstva	u
   1 viidomih	prichin
   1 viidmova	kolishniih
   1 viidluchennyam	viid
   1 viidluchennya	viid
   1 viidiirvano	yiyi
   1 viiddanii	pozastatutniij
   1 viidbuvalosya	chimalo
   1 viidbuvalis	tradiciijnii
   1 viid	zagal
   1 viid	svogo
   1 viid	partiiyi
   1 viid	oformlennya
   1 viid	n
   1 viid	ganebnih
   1 viid	dvoh
   1 viid	agresivnih
   1 viid	Socpartiiyi
   1 viid	SPU
   1 vihiidcii	stvoryat
   1 vihiid	Rud
   1 vignancyam	progresivnii
   1 vignancya	Spravedlivostii
   1 vidiilili	posadi
   1 viboru	dvoriichnoyi
   1 viboriiv	17
   1 vibori	okremim
   1 vibori	buli
   1 viborciiv	ii
   1 viborciiv	abo
   1 viborciiv	Zdavalosya
   1 viborchoyi	kampaniiyi
   1 viborah	pereduvav
   1 viborah	ii
   1 viborah	2012
   1 viborah	2007
   1 viborah	2006
   1 viborah	2002
   1 vibiir	odnak
   1 veteran	sociialiistichnogo
   1 vesni	do
   1 vesiil	nogo
   1 vesiil	nim
   1 ves	komunal
   1 veresnya	2002
   1 velikoyi	poliitiki
   1 vdalosya	vikonati
   1 vchorashniih	frontovikiiv
   1 v	tomu
   1 v	sociial
   1 v	sadochkah
   1 v	rezul
   1 v	derzhavii
   1 v	blizhajshie
   1 v	aktivnu
   1 v	Prezidenty
   1 v	Afganistan
   1 utvoriv	antikrizovu
   1 utrimannya	regiional
   1 utrimalas	na
   1 useredinii	SPU
   1 us	ogo
   1 uniiversitetiiv	mayut
   1 umovi	scho
   1 umovah	obmezhenih
   1 umovah	Oleksandr
   1 ukrayins	kim
   1 ukrayins	kih
   1 ukrayins	ke
   1 ugodi	pro
   1 uchetvero	menshe
   1 uchastii	u
   1 uchasnikam	pomaranchevoyi
   1 ua	v
   1 ua	obov
   1 ua	news
   1 ua	culture
   1 ua	RSS
   1 u	zmagannii
   1 u	zhovtnii
   1 u	yakiij
   1 u	vsiih
   1 u	vladu
   1 u	vikonavchiij
   1 u	viidstavku
   1 u	periiod
   1 u	novu
   1 u	novomu
   1 u	noviij
   1 u	niikudi
   1 u	niij
   1 u	nih
   1 u	kviitnii
   1 u	kliiniichnu
   1 u	grudnii
   1 u	dostrokovih
   1 u	chergovih
   1 u	c
   1 u	Kiyivs
   1 u	Donec
   1 u	2010
   1 tyagar	perekladaie
   1 tut	znov
   1 tur	bulo
   1 trusili	postiijnii
   1 tri	miiniisters
   1 tretiim	zajvim
   1 treba	znati
   1 travnya	2016
   1 trapilos	Na
   1 tradiciijnij	dlya
   1 tradiciijnii	dlya
   1 tr	id
   1 toropitsya	v
   1 tomu	scho
   1 tomosu	http
   1 togo	scho
   1 togo	priviiv
   1 togo	bula
   1 todiishnya	opoziciiya
   1 tisyachii	viborciiv
   1 tisyachii	golosiiv
   1 tisyach	gromadyan
   1 tisyach	773
   1 tiskom	zvinuvachen
   1 ternativnoyi	sudovoyi
   1 termiinovo	peregrupovuvati
   1 teploenergetichnoyi	iinfrastrukturi
   1 teplo	Paralel
   1 tekst	a
   1 tatu	Nevdaliij
   1 tatom	peremiig
   1 tatiiv	na
   1 tatiiv	Na
   1 tatii	yakogo
   1 tatii	takogo
   1 tatii	na
   1 tatii	chogo
   1 taku	same
   1 takozh	viriishili
   1 takozh	Andrej
   1 takovym	Nacional
   1 takogo	riishennya
   1 takogo	ob
   1 taki	povinnii
   1 tak	scho
   1 tak	ii
   1 ta	zahischayut
   1 ta	zahiidnimi
   1 ta	vpliv
   1 ta	propagandists
   1 ta	parafuvannya
   1 ta	lyud
   1 ta	krizi
   1 ta	aktivnih
   1 ta	YAnukovicha
   1 ta	Poliitichnoyi
   1 ta	O
   1 ta	Kompartiiieyu
   1 syurprizom	dlya
   1 sya	ruh
   1 sya	protokolami
   1 sya	ne
   1 sya	na
   1 sya	lishe
   1 svoyim	kolishniim
   1 svoyim	keriivnikom
   1 svoyi	sili
   1 svoyi	prava
   1 svoiemu	miiscii
   1 svogo	viboru
   1 suspiil	stvo
   1 sumiischati	derzhavnu
   1 sudovoyi	reformi
   1 sud	z
   1 stvoryat	novu
   1 stvoriv	opoziciijnij
   1 stvoriti	u
   1 stvo	naperedodnii
   1 strukturu	Spiilku
   1 stolknetsya	kak
   1 stazhem	zaproponuvav
   1 stavlennya	z
   1 stavati	spiivviidnosnimi
   1 stav	sche
   1 stav	Vasil
   1 startuvala	16
   1 starta	prezidentskoj
   1 stan	teploenergetichnoyi
   1 stala	viidmova
   1 sprobuvav	svoyi
   1 sprobu	povernutis
   1 spozhivacha	konservuyuchi
   1 splesk	liiders
   1 spisku	admiinresursu
   1 spiivviidnosnimi	iiz
   1 speciial	nogo
   1 soyuzniki	po
   1 sovetskogo	rukovodstva
   1 soliistami	u
   1 soglasie	s
   1 soglashenie	U
   1 sociialiizmu	viidviiv
   1 sociialiizmu	ale
   1 sociialiistiiv	zdobutogo
   1 sociialiistiiv	yak
   1 sociialiistiiv	viidstupiv
   1 sociialiistiiv	stav
   1 sociialiistiiv	stala
   1 sociialiistiiv	rozkol
   1 sociialiistiiv	pokladalis
   1 sociialiistiiv	piidkilimnii
   1 sociialiistiiv	ostannie
   1 sociialiistiiv	ocholiv
   1 sociialiistiiv	miig
   1 sociialiistiiv	azh
   1 sociialiistiiv	Vnutriishnii
   1 sociialiistiiv	O
   1 sociialiistiiv	Kolishnii
   1 sociialiistichnogo	ruhu
   1 sociialiisti	znov
   1 sociialiisti	otrimali
   1 sociialiisti	Viitrenko
   1 sociialiisti	S
   1 sociialiistam	vidiilili
   1 sociialiistam	sche
   1 sociialiistam	nii
   1 sociialiistam	nadto
   1 sociialiista	faktichnogo
   1 sociial	nu
   1 sociial	nih
   1 smert	odniiieyi
   1 sluzhbu	ii
   1 slovom	U
   1 sliiduvav	chergovij
   1 skoe	soglashenie
   1 sklikannya	Facebook
   1 sklikannya	CHitajte
   1 skladu	Sociialiistichnoyi
   1 skladu	SPU
   1 skazav	scho
   1 skandalu	ta
   1 skandali	ne
   1 sistemnoj	problemoj
   1 sistema	Ukrainy
   1 silu	sociialiistiiv
   1 sili	na
   1 sil	zgodom
   1 sil	ta
   1 sil	j
   1 sil	Ale
   1 siichnya	2016
   1 shvidkij	dostupnij
   1 shukayuchi	vinnih
   1 shij	rozvitok
   1 shiist	viyavilisya
   1 shalenim	zusillyam
   1 sh	yaskravo
   1 serpnii	2011
   1 serjozno	postavilas
   1 sebe	mazhoritarnomu
   1 sebe	PSPU
   1 schodo	lyustraciiyi
   1 scho	zmusilo
   1 scho	vzhe
   1 scho	vtiishalo
   1 scho	viin
   1 scho	vdalosya
   1 scho	treba
   1 scho	same
   1 scho	osobisto
   1 scho	miistyat
   1 scho	kiil
   1 scho	doroslim
   1 scho	____________________________________________________________
   1 sche	odne
   1 sche	na
   1 sche	giirshim
   1 sche	1
   1 sankciiyi	Meta
   1 samostiijno	gotuyuchis
   1 same	zarobiitchani
   1 same	viid
   1 same	rol
   1 sam	na
   1 sam	iiz
   1 sajte	vy
   1 sajte	Pol
   1 sadochkah	http
   1 sabotuyut	ob
   1 s	prestupnym
   1 s	politikoj
   1 s	odnoj
   1 ryadovogo	chlena
   1 rukovodstva	o
   1 rukavov	kozyri
   1 ruhu	guchne
   1 ruh	u
   1 rozvitok	podiij
   1 rozstavatis	z
   1 rozpisanij	grafiik
   1 rozmiinyati	iinteresi
   1 rozkol	z
   1 rozkol	useredinii
   1 rozglyadu	pershu
   1 rozcharuvannya	z
   1 rosiijs	kii
   1 rollyu	ryadovogo
   1 rol	vesiil
   1 roku	zmushenij
   1 roku	yakij
   1 roku	vpershe
   1 roku	viid
   1 roku	u
   1 roku	trusili
   1 roku	sociialiistiiv
   1 roku	prinesli
   1 roku	pered
   1 roku	ochiil
   1 roku	niichogo
   1 roku	na
   1 roku	mensh
   1 roku	do
   1 roku	Sociialiistichna
   1 roku	Odnak
   1 roku	Bazovih
   1 rocii	novu
   1 rocii	16
   1 roboti	chergovii
   1 riskov	S
   1 riishennya	viyavilisya
   1 riishennya	rozmiinyati
   1 riishennya	pro
   1 riishennya	odnochasno
   1 riik	piislya
   1 riik	Cushko
   1 riidnomu	dlya
   1 rezul	tatu
   1 rezul	tatom
   1 rezul	tat
   1 revolyuciiyi	sociialiistam
   1 resursnii	mozhlivostii
   1 resursiiv	naviit
   1 resociialiizaciiyu	vchorashniih
   1 renesans	chi
   1 regiioniiv	ta
   1 regiional	nih
   1 reformi	12
   1 redakciiyi	http
   1 real	nii
   1 razu	sprobuvav
   1 razom	z
   1 razii	viyavivsya
   1 razii	povnogo
   1 rajonnyh	muzeev
   1 radii	scho
   1 publiikaciiyi	Vibiir
   1 publiichnii	skandali
   1 pryamih	kontaktiiv
   1 pryame	giiperposilannya
   1 proviidnimi	soliistami
   1 provela	do
   1 protokolami	Volodimir
   1 proti	voroga
   1 proti	tomosu
   1 proti	liidera
   1 proti	SPU
   1 prote	ne
   1 prosto	prochitati
   1 propisanii	ta
   1 propagandists	ko
   1 progresivnii	sociialiisti
   1 progranii	vschent
   1 prognozuyuchi	neuspiih
   1 prodovzhit	sya
   1 prochitati	horoshij
   1 procesiiv	Znayu
   1 proces	nadumuyuchi
   1 problemoj	kotoraya
   1 pro	sche
   1 pro	rosiijs
   1 pro	peredachu
   1 pro	diiyal
   1 prizveli	do
   1 privodi	shukayuchi
   1 priviiv	do
   1 prineslo	sociialiistam
   1 prineslo	pevnii
   1 prinesli	Oleksandru
   1 principiiv	ta
   1 prijnyav	riishennya
   1 prijnyav	dolenosne
   1 prijnyav	do
   1 prihodyat	do
   1 prichin	Tomu
   1 prezidentskoj	kampanii
   1 prezidenta	rezul
   1 prezidenststva	Kuchmi
   1 pretenduvatime	na
   1 pretendenty	na
   1 prestupnym	Esli
   1 predstavnikiiv	gromads
   1 predstavnictvo	ii
   1 predstaviti	zviit
   1 pravovoyi	poliitiki
   1 pravil	nij
   1 prava	Voni
   1 prav	lyudini
   1 praktichno	viidiirvano
   1 praktichnih	nii
   1 pracyuvala	proti
   1 pracyuvala	poliiciiya
   1 pracyuvala	derzhavna
   1 pozastatutniij	osobii
   1 pozachergovomu	z
   1 povnoyi	viidsutnostii
   1 povnogo	chi
   1 povinnii	dyakuvati
   1 povernutis	v
   1 potuzhnij	kapiital
   1 potriibnii	kartinki
   1 potrebuyut	ne
   1 poteryat	200
   1 postiijnii	publiichnii
   1 postavilas	do
   1 poslug	ii
   1 poslavshis	na
   1 posilannya	na
   1 posiila	p
   1 posadu	keriivnika
   1 posadu	golovi
   1 posadu	Golovi
   1 posadi	u
   1 posadi	golovi
   1 portfelii	posadi
   1 porodit	celyj
   1 porazku	jomu
   1 porazka	2007
   1 poradi	nalagodzhennya
   1 poperedniih	proti
   1 pomilkoyu	Pomilka
   1 pomilka	Vhiid
   1 pomilka	Tekst
   1 pomaranchevoyi	revolyuciiyi
   1 pomaranchevih	partneriiv
   1 polovini	delegatiiv
   1 pologiiv	ii
   1 politikoj	zaschity
   1 poliitiku	vzyav
   1 poliitiki	Pevnii
   1 poliitiki	II
   1 poliitika	kontakti
   1 poliitichnu	silu
   1 poliitichnoyu	partiiieyu
   1 poliitichnogo	liiderstva
   1 poliitichnij	oponent
   1 poliiciiyi	Ukrayini
   1 poliiciiya	u
   1 policya	12
   1 pokladalis	na
   1 pokaznikami	09
   1 poiednanii	doleyu
   1 poglyad	tak
   1 podumati	yak
   1 podtverzhdaete	soglasie
   1 podiij	riishennya
   1 podiibnih	iinformaciijnih
   1 podati	u
   1 podati	lyudyam
   1 podal	shij
   1 pod	iolochku
   1 pochesnomu	golovii
   1 pobratimiiv	komuniistiiv
   1 pobedu	nachnut
   1 po	akciiyi
   1 pitan	pravovoyi
   1 piivroku	chergovii
   1 piislya	vlittya
   1 piislya	c
   1 piidtrimku	majzhe
   1 piidtrimkoyu	azh
   1 piidtrimati	jogo
   1 piidpisiiv	vihiid
   1 piidozriiliist	bagatoriichnogo
   1 piidkilimnii	chvari
   1 piid	tiskom
   1 piid	cimi
   1 pevnii	diviidendi
   1 personal	nyh
   1 personal	na
   1 pershu	zayavu
   1 pershogo	zastupnika
   1 pershij	poglyad
   1 periiod	z
   1 pererosti	u
   1 peremozhcya	Vinnim
   1 peremiig	dosviidchenij
   1 perekladaie	na
   1 peregrupovuvati	viirnii
   1 peregovoriiv	procesiiv
   1 pereduvav	vzhe
   1 peredostannya	za
   1 peredachu	dopomogi
   1 pered	partiijcyami
   1 perebuvannya	ogoloshenogo
   1 partneriiv	piidtrimati
   1 partneriiv	ii
   1 partnerami	10
   1 partiiyu	zalishili
   1 partiiyu	renesans
   1 partiiyi	yakim
   1 partiiyi	prote
   1 partiiyi	naviit
   1 partiiyi	na
   1 partiiyi	Vasilya
   1 partiiyi	Ukrayini
   1 partiiyi	Soyuz
   1 partiiyi	Oleksandru
   1 partiiyi	Oleksandra
   1 partiiya	Ukrayini
   1 partiijnu	diiyal
   1 partiijno	organiizaciijnoyi
   1 partiijnih	oseredkiiv
   1 partiijcyami	zazhevriila
   1 partiij	Ukrayini
   1 partiiieyu	kadrova
   1 partiiieyu	ievropejs
   1 parlamentu	nabravshi
   1 parlamentu	33
   1 parlaments	koyi
   1 parlaments	kii
   1 parlaments	ke
   1 parlamentii	opoziciijnu
   1 parafuvannya	18
   1 pam	yatnika
   1 palac	Homutcya
   1 p	yate
   1 oyi	drugoyi
   1 otrimavshi	u
   1 otrimati	zadovolennya
   1 otrimali	u
   1 otochennya	prizveli
   1 osviitniih	poslug
   1 osviiti	v
   1 ostanniij	na
   1 ostannie	miisce
   1 ostann	ogo
   1 osobisto	dlya
   1 osobistii	ambiiciiyi
   1 osobii	pochesnomu
   1 osobi	v
   1 osobi	Vibori
   1 osnovnye	pretendenty
   1 oshibochnym	na
   1 oseredkiiv	u
   1 osenii	2005
   1 organiizaciijnoyi	ta
   1 opoziciiya	dosit
   1 opoziciijnu	biil
   1 opoziciijnij	do
   1 opoziciijnii	soyuzniki
   1 oponent	Mikola
   1 omu	razii
   1 okruzii	u
   1 okremim	kolonami
   1 okazalos	oshibochnym
   1 oharakterizuvav	ostanniij
   1 ogoloshenogo	vseukrayins
   1 ogoloshennya	pro
   1 ogo	zalezhit
   1 ogo	viiddali
   1 ogo	vignancya
   1 ogo	razu
   1 ogo	odnoriichne
   1 ogo	dnya
   1 ogo	dlya
   1 ogo	95
   1 ogo	6
   1 oformlennya	knizhki
   1 ofiiciijno	propisanii
   1 oficial	nogo
   1 odrazu	opinilis
   1 odnoriichne	perebuvannya
   1 odnoj	sistemnoj
   1 odnochasno	ii
   1 odnim	nepriiemnim
   1 odniiieyi	z
   1 odne	rozcharuvannya
   1 odnak	ce
   1 odin	Sprobi
   1 ocholiv	Petro
   1 ocholit	vsii
   1 ochiil	nik
   1 ochiikuie	Sociialiistichnu
   1 obstavin	viidluchennya
   1 obrav	svoyim
   1 obrav	golovoyu
   1 obrati	novogo
   1 obov	yazkove
   1 obmezhenih	resursiiv
   1 oblastii	majzhe
   1 oblastii	de
   1 oblasnih	derzhadmiiniistraciij
   1 ob	iednavchij
   1 o	vvode
   1 nyh	dannyh
   1 nyatis	rollyu
   1 nu	merezhu
   1 noyi	poliiciiyi
   1 novu	strukturu
   1 novu	sprobu
   1 novu	poliitichnu
   1 novostvorenih	OTG
   1 novomu	parlamentii
   1 novogo	sociialiista
   1 novogo	golovu
   1 novini	LB
   1 noviij	antiprezidents
   1 novii	resursnii
   1 nova	iinformaciijna
   1 noscript	1
   1 nomer	odin
   1 nogo	starta
   1 nogo	rezul
   1 nogo	harchuvannya
   1 nogo	generala
   1 no	viidbuvalosya
   1 no	efektivnoyu
   1 nischiivnu	porazku
   1 nim	rezul
   1 nim	generalom
   1 nik	sociialiistiiv
   1 nij	vibiir
   1 nij	tyagar
   1 niizh	Viitrenko
   1 niizh	0
   1 niistyu	frakciiya
   1 niist	viidomstva
   1 niist	Dalii
   1 niikudi	Volodimir
   1 niij	buli
   1 niichogo	ne
   1 nii	zagrozi
   1 nii	praktichnih
   1 nii	moral
   1 nih	rezul
