   5 Korrespondent	net
   3 v	Moldovii
   3 miil	joniiv
   3 mera	Kishineva
   3 joniiv	ievro
   3 Federiika	Mogeriinii
   3 100	miil
   3 0	0
   2 zhurnalu	Reklama
   2 zalishivsya	odin
   2 zakonu	v
   2 z	pitannya
   2 ya	Tramp
   2 viidklav	transh
   2 viboriiv	mera
   2 verhovenstva	zakonu
   2 v	zhurnalii
   2 v	Ukrayinii
   2 tisyachii	lyudej
   2 ta	verhovenstva
   2 sviitova	mozhe
   2 rozmiischena	v
   2 projshli	debati
   2 pro	PCU
   2 prav	lyudini
   2 posilannya	na
   2 pochatisya	v
   2 pitannya	Porushennya
   2 odin	na
   2 novini	rozdiilu
   2 na	sajtii
   2 na	protesti
   2 mozhe	pochatisya
   2 lyudini	demokratiiyi
   2 liider	ievroiintegraciiyi
   2 koristuvannya	sajtom
   2 ievroiintegraciiyi	IES
   2 demokratiiyi	ta
   2 debati	z
   2 dav	habara
   2 buti	rozmiischena
   2 Vsii	novini
   2 Varfolomiij	pro
   2 U	IEvroparlamentii
   2 Twitter	Google
   2 Tretya	sviitova
   2 Tramp	zalishivsya
   2 Sviit	Vsii
   2 Shiidnogo	partnerstva
   2 SHou	biiznes
   2 Reklama	v
   2 Proekti	zhurnalu
   2 Porushennya	prav
   2 Poroshenko	dav
   2 PCU	Poroshenko
   2 IES	viidklav
   2 Facebook	Twitter
   2 Eks	liider
   2 Biidnij	ya
   2 Arhiiv	Proekti
   2 27	7165
   1 zvinuvativ	svogo
   1 zvinuvativ	Moldovu
   1 zruchnogo	vipadku
   1 zobov	yazannyami
   1 znajti	vihiid
   1 zmiinilasya	piislya
   1 zii	dlya
   1 zhurnaliistiiv	ta
   1 zhurnalii	Piidpishis
   1 zhurnalii	Peredplati
   1 zgiidno	z
   1 zaznachila	scho
   1 zayavila	scho
   1 zaproponuvali	IEvrokomiisiiyi
   1 zamoroziv	viplatu
   1 zamoroziv	transh
   1 zamoroziti	vidiilennya
   1 zamorozili	transh
   1 zalishiv	ce
   1 zakonami	keruvati
   1 zaklopotaniist	podal
   1 zaklikayu	vladu
   1 zaklikali	reformuvati
   1 zaklikala	Moldovu
   1 zahischenii	Vikoristannya
   1 zahischayut	iinakomislyachih
   1 zahischati	nezalezhniist
   1 zaboronyaiet	sya
   1 zaangazhovaniistyu	sudovoyi
   1 za	umovi
   1 za	piidsumkami
   1 za	kozhnogo
   1 za	kordonu
   1 z	zaangazhovaniistyu
   1 z	za
   1 z	poznachkami
   1 z	peredvibornoyi
   1 z	nih
   1 z	moldavs
   1 z	miizhnarodnimi
   1 z	deziinformaciiieyu
   1 z	ciiieyi
   1 z	RF
   1 yazki	mera
   1 yazannyami	Moldovi
   1 yaknajshvidshe	znajti
   1 yakij	piidtrimuie
   1 yakij	nabrav
   1 yakii	zahischayut
   1 yakii	projdut
   1 yakih	materiialiiv
   1 yake	kopiiyuvannya
   1 yaka	trivala
   1 yak	minulogo
   1 www	googletagmanager
   1 widgets	follow_button
   1 vvazhalasya	liiderom
   1 vostochnoe	partniorstvo
   1 vladu	Moldovi
   1 vladii	Moldovi
   1 viznano	demokratichnimi
   1 vistupayuchi	na
   1 vislovila	serjoznu
   1 viriishili	postaviti
   1 viplatu	100
   1 viplati	koshtiiv
   1 vipadku	nagaduie
   1 vikoristannya	materiialiiv
   1 vikonuyuchij	obov
   1 vijshli	tisyachii
   1 vijshli	na
   1 viin	sche
   1 viidsotka	golosiiv
   1 viidpoviidayut	standartam
   1 viidpoviid	ievropejs
   1 viid	povnogo
   1 viid	Miizhnarodnogo
   1 viid	Korrespondent
   1 viid	IES
   1 viid	20
   1 vihiid	z
   1 vidiiliit	neobhiidnij
   1 vidiilennya	Kishinevu
   1 vidan	povinna
   1 viboriiv	yakii
   1 viboriiv	u
   1 viboriiv	poslavshis
   1 viboriiv	Protestuyuchi
   1 viborciiv	pozbavili
   1 viborchoyi	sistemi
   1 viborcha	komiisiiya
   1 vi	pomiitili
   1 verhovenstva	prava
   1 valyutnogo	fondu
   1 valyut	27
   1 v	socmerezhah
   1 v	rozmiirii
   1 v	piidzagolovku
   1 v	piidrivii
   1 v	pershomu
   1 v	nezalezhnostii
   1 v	listopadii
   1 v	den
   1 v	agiitaciiyi
   1 v	Kishinevii
   1 v	IEvrosoyuzii
   1 umovi	posilannya
   1 ua	CHITAJTE
   1 u	den
   1 u	borot
   1 u	Telegram
   1 u	Moldovii
   1 u	2019
   1 u	100
   1 twitter	com
   1 tura	Kiino
   1 trivati	bo
   1 trivala	kiil
   1 trendi	ZHURNAL
   1 transh	vostochnoe
   1 transh	u
   1 transh	U
   1 transh	MoldoviiSyuzhet
   1 transh	Moldovii
   1 tomu	miistom
   1 togo	yak
   1 tizhnya	otrimala
   1 tiisnu	spiivpracyu
   1 teper	viborciiv
   1 tekst	ii
   1 te	scho
   1 tati	viboriiv
   1 takozh	zaklikali
   1 takozh	zaklikala
   1 takozh	otrimannii
   1 takozh	konstatuvali
   1 takimi	scho
   1 ta	reklama
   1 ta	oliigarhiichnu
   1 ta	advokatiiv
   1 ta	IT
   1 t	me
   1 sya	za
   1 sya	na
   1 sya	bigmir
   1 svoyi	proekti
   1 svogo	konkurenta
   1 suvoro	zaboronyaiet
   1 sumu	33
   1 sudu	zgiidno
   1 sudovu	sistemu
   1 sudovoyi	sistemi
   1 sud	anulyuvav
   1 sud	Moldovi
   1 sud	21
   1 striichki	E
   1 stolicii	do
   1 stav	liider
   1 standartiiv	u
   1 standartam	IES
   1 spisok	mozhe
   1 spiivpracyu	z
   1 socmerezhah	Facebook
   1 sociialiist	IIon
   1 skazala	diplomat
   1 skazala	Federiika
   1 situaciiyu	z
   1 situaciiyi	ii
   1 situaciiya	zmiinilasya
   1 sistemu	U
   1 sistemi	zahischati
   1 sistemi	rozsliiduvati
   1 sistem	giiperposilannya
   1 shim	pogiirshennyam
   1 shahrajstva	provesti
   1 sha	z
   1 sh	tiisnu
   1 sesiiyi	IEvroparlamentu
   1 serjoznu	zaklopotaniist
   1 serjoznu	krizu
   1 screen_name	kor
   1 schob	poviidomiti
   1 scho	viidpoviidayut
   1 scho	v
   1 scho	povtornogo
   1 scho	obidva
   1 scho	miistit
   1 scho	Moldova
   1 scho	IES
   1 sche	daleko
   1 sajtom	ZHurnal
   1 sajtom	Dogoviir
   1 sajtii	dozvolyaiet
   1 sajtii	Vikoristannya
   1 rozsliiduvati	bankiivs
   1 rozsilka	Kontakti
   1 rozpoviidaie	podrobicii
   1 rozmiischenih	na
   1 rozmiirii	100
   1 rozdiilu	Rosiiya
   1 rozdiilu	POSHUK
   1 rocii	bude
   1 riishennya	tisyachii
   1 riishennya	piidrivayut
   1 riishennya	chinnim
   1 rezul	tati
   1 rezolyuciij	piidgotuvala
   1 respondent	Facebook
   1 reliizi	Groshovii
   1 reklami	Bud
   1 reklama	Kar
   1 reformuvati	korumpovanu
   1 reformu	viborchoyi
   1 redakciiyu	powered
   1 publiikuyut	sya
   1 publiikaciiya	peredruk
   1 provesti	reformu
   1 proti	c
   1 protesty	U
   1 protestu	yaka
   1 protesti	vijshli
   1 protesti	ii
   1 proshli	mnogotysyachnye
   1 projdut	v
   1 proievropejs	koyi
   1 programa	Lifestyle
   1 proekti	rezolyuciij
   1 pro	neobhiidniist
   1 pro	ce
   1 pripiniti	situaciiyu
   1 principiiv	ii
   1 presi	Sport
   1 presi	Cej
   1 pravo	lyudej
   1 pravda	Andriij
   1 pravah	reklami
   1 prava	zahischenii
   1 prava	ii
   1 poznachkami	Dumka
   1 pozbavili	demokratichno
   1 powered	by
   1 povtornogo	golosuvannya
   1 povnogo	abo
   1 povnij	skazala
   1 povinna	buti
   1 poviidomiti	pro
   1 povazhati	pravo
   1 postaviti	na
   1 postanovila	scho
   1 poslavshis	na
   1 posiliti	dopomogu
   1 poshukovih	sistem
   1 poshirennya	iinformaciiyi
   1 poobiicyala	posiliti
   1 pomilku	vidiiliit
   1 pomiitili	pomilku
   1 pogiirshennyam	demokratichnih
   1 podrobicii	Protesti
   1 podal	shim
   1 platform	twitter
   1 piislya	togo
   1 piislya	neviznannya
   1 piidzagolovku	abo
   1 piidtverdiv	ii
   1 piidtrimuie	biil
   1 piidsumkami	golosuvannya
   1 piidrivii	demokratichnih
   1 piidrivayut	doviiru
   1 piidgotuvala	ciila
   1 pershomu	abzacii
   1 peresliiduyut	zhurnaliistiiv
   1 peremozhcem	viboriiv
   1 perekazi	Sviit
   1 peredvibornoyi	gonki
   1 peredruk	chi
   1 pauzu	nadannya
   1 partniorstvo	0
   1 partnerstva	ale
   1 partnerstva	Glava
   1 partiiyi	Platforma
   1 partiiya	vislovila
   1 parlaments	kih
   1 otrimannii	dopomogi
   1 otrimala	dopomogu
   1 omu	golosuvannya
   1 oliigarhiichnu	sudovu
   1 ogo	riishennya
   1 odnak	apelyaciijnij
   1 obranogo	mera
   1 obrana	narodom
   1 obov	yazki
   1 obidva	kandidati
   1 ns	html
   1 novini	Ukrayina
   1 nomer	Arhiiv
   1 nizka	frakciij
