   6 Harkiivs	koyi
   5 oblili	zelenkoyu
   5 narodnoyi	respubliiki
   5 koyi	narodnoyi
   4 U	Harkovii
   4 Korrespondent	net
   3 0	0
   2 zhurnalu	Reklama
   2 zhiinka	narodila
   2 zelenkoyu	narodnogo
   2 zelenkoyu	glavu
   2 v	zhurnalii
   2 v	zalii
   2 v	poliitiku
   2 scho	ya
   2 rozmiischena	v
   2 respubliiki	IIgorya
   2 proti	Ukrayini
   2 potrapila	na
   2 posilannya	na
   2 poliitologa	potrapila
   2 poliitiku	Zelens
   2 oblastii	zhiinka
   2 novini	rozdiilu
   2 narodu	jde
   2 narodnogo	gubernatora
   2 narodila	18
   2 nardepa	j
   2 na	sajtii
   2 koristuvannya	sajtom
   2 kiij	oblastii
   2 jde	v
   2 j	poliitologa
   2 ii	Shiidnij
   2 gubernatora	Harkiivs
   2 glavu	Harkiivs
   2 buti	rozmiischena
   2 bud	yakih
   2 aktiviisti	oblili
   2 Vsii	novini
   2 Ukrayina	Vsii
   2 U	Riivnens
   2 Twitter	Google
   2 Sluga	narodu
   2 SHou	biiznes
   2 Riivnens	kiij
   2 Reklama	v
   2 Proekti	zhurnalu
   2 Partiiya	Sluga
   2 IIgorya	Maslova
   2 Harkovii	oblili
   2 Har	kov
   2 Golovna	Ukrayina
   2 Facebook	Twitter
   2 Biijka	nardepa
   2 Arhiiv	Proekti
   2 27	7165
   1 zvertatisya	za
   1 ziirvali	tut
   1 zii	dlya
   1 zhurnalii	Piidpishis
   1 zhurnalii	Peredplati
   1 zhe	chas
   1 zelenkoyu	deputata
   1 zelenka	separatisty
   1 zaznachila	predstavnik
   1 zasiidannya	v
   1 zasiidannya	prohodilo
   1 zasiidannii	partiiyi
   1 zashtovhali	v
   1 zasedanie	potasovka
   1 zaraz	u
   1 zalii	pochalasya
   1 zalii	kudi
   1 zahischenii	Vikoristannya
   1 zaboronyaiet	sya
   1 za	umovi
   1 za	bud
   1 za	Ukrayinu
   1 z	yakih
   1 z	vodoyu
   1 z	poznachkami
   1 z	keriivnikiiv
   1 z	40
   1 z	2006
   1 yih	slovami
   1 yakoyi	aktiviisti
   1 yakih	u
   1 yakih	proyavah
   1 yakih	materiialiiv
   1 yake	kopiiyuvannya
   1 yak	Gubariev
   1 ya	za
   1 ya	separatist
   1 ya	proti
   1 ya	ne
   1 www	googletagmanager
   1 widgets	follow_button
   1 vse	vodoyu
   1 vse	spochatku
   1 vona	U
   1 vodoyu	ziirvali
   1 vodoyu	kidati
   1 vodoyu	Ochevidcii
   1 vikoristannya	materiialiiv
   1 viklikali	miiliiciiyu
   1 viideo1972	Korrespondent
   1 viideo	Biijka
   1 viiddiilennya	Fondu
   1 viid	povnogo
   1 viid	20
   1 vidiiliit	neobhiidnij
   1 vidan	povinna
   1 vi	pomiitili
   1 varti	Nelya
   1 varta	ii
   1 valyut	27
   1 v	socmerezhah
   1 v	smiittievij
   1 v	separatizmii
   1 v	primiischennii
   1 v	piidzagolovku
   1 v	pershomu
   1 v	nezalezhnostii
   1 v	hodii
   1 v	Odesii
   1 v	Gromads
   1 uviirvalisya	pochali
   1 uviirvalisya	chleni
   1 umovi	posilannya
   1 uchasnikiiv	zasiidannya
   1 ua	CHITAJTE
   1 u	balaklavah
   1 u	Donec
   1 twitter	com
   1 tut	plakat
   1 tura	Kiino
   1 trendi	ZHURNAL
   1 toj	zhe
   1 tochno	tak
   1 tekst	ii
   1 tatii	v
   1 tak	samo
   1 ta	reklama
   1 ta	IT
   1 sya	za
   1 sya	na
   1 sya	bigmir
   1 suvoro	zaboronyaiet
   1 striichki	E
   1 stavsya	v
   1 spochatku	vodoyu
