   3 tisyach	griven
   3 Ukrayina	3000
   3 20	tisyach
   2 zobov	yazav
   2 vklyuchiti	JavaScript
   2 mu	Pomarancheve
   2 fiil	mu
   2 Twitter	Google
   2 Sud	zobov
   2 Pomarancheve	nebo
   2 Google	Novini
   2 Facebook	Twitter
   1 zvernuvsya	do
   1 zv	yazku
   1 zhurnalu	podorozhii
   1 zhurnal	Ukrayins
   1 zasnovnikom	fondu
   1 zarobiitnih	plat
   1 zaplatiti	20
   1 za	nesankciionovanij
   1 z	viidpoviidnim
   1 z	viidpoviidacha
   1 z	nesankciionovanim
   1 z	dozvolu
   1 yazku	z
   1 yazav	styagnuti
   1 yazav	fond
   1 yakij	zvernuvsya
   1 yake	iinshe
   1 yak	vklyuchiti
   1 viznav	porushennya
   1 vipuski	arhiiv
   1 vikoristannya	sajtu
   1 viijna	iinfografiika
   1 viidsudiv	u
   1 viidpoviidnim	pozovom
   1 viidpoviidacha	20
   1 versiiya	sajtu
   1 veb	brauzeriiv
   1 vashomu	veb
   1 v	Pol
   1 urbaniistika	Povna
   1 ua	Facebook
   1 u	zv
   1 u	vashomu
   1 u	druzhini
   1 tv	spectemi
   1 tura	iistoriiya
   1 tizhden	tv
   1 sviit	suspiil
   1 suspiil	stvo
   1 sudu	z
   1 styagnuti	z
   1 stvo	kul
   1 stverdzhuie	scho
   1 stanovit	bliz
   1 spectemi	viijna
   1 speciial	nii
   1 slovami	Mendusya
   1 scho	stanovit
   1 scho	fond
   1 schii	naprikiincii
   1 sajtu	neobhiidno
   1 sajtu	mozhlive
   1 sajtu	Android
   1 s	kim
   1 s	kij
   1 roku	Sud
   1 redakciiyi	Dlya
   1 rajsud	Kiieva
   1 privatna	urbaniistika
   1 prezidenta	Viiktora
   1 pravda	Facebook
   1 prav	u
   1 pozovom	Za
   1 povnoyi	funkciional
   1 poviidomiv	chlen
   1 porushennya	jogo
   1 poliitika	ekonomiika
   1 pol	s
   1 pokazu	pol
   1 pokazom	fiil
   1 pokaz	fiil
   1 podorozhii	avto
   1 plat	scho
   1 peredplatu	na
   1 peredav	dlya
   1 organiizatoram	fiil
   1 ogo	sajtu
   1 novini	kolonki
   1 nostii	c
   1 nii	vipuski
   1 nih	zarobiitnih
   1 nesankciionovanim	pokazom
   1 nesankciionovanij	pokaz
   1 neobhiidno	vklyuchiti
   1 nebo	na
   1 nebo	Pro
   1 neba	Nagadaiemo
   1 naprikiincii	2009
   1 na	zhurnal
   1 na	kiinofestivalii
   1 mozhlive	lishe
   1 mokopiiyu	Pomaranchevogo
   1 miiniimal	nih
   1 lishe	z
   1 kul	tura
   1 komerciijne	vikoristannya
   1 kolonki	poliitika
   1 ko	20
   1 kim	organiizatoram
   1 kij	rajsud
   1 kij	Tizhden
   1 kiinofestivalii	v
   1 kih	prav
   1 ka	pravda
   1 jogo	dozvolu
   1 jogo	avtors
   1 iistoriiya	speciial
   1 iinstrukciiyi	yak
   1 iinshe	komerciijne
   1 iinfografiika	privatna
   1 ie	druzhina
   1 iOS	Tizhden
   1 griven	za
   1 griven	Sud
   1 griven	Mendus
   1 galereya	tizhden
   1 funkciional	nostii
   1 fondu	Ukrayina
   1 fond	Ukrayina
   1 fond	Katerini
   1 fiil	mokopiiyu
   1 eks	prezidenta
   1 ekonomiika	sviit
   1 druzhini	YUschenka
   1 druzhina	eks
   1 dozvolu	redakciiyi
   1 dozvolu	peredav
   1 do	sudu
   1 dlya	pokazu
   1 chlen	Socpartiiyi
   1 ce	poviidomiv
   1 c	ogo
   1 bud	yake
   1 brauzeriiv	
   1 bliz	ko
   1 bez	jogo
   1 avtors	kih
   1 avto	galereya
   1 arhiiv	zhurnalu
   1 abo	bud
   1 ____________________	Submit
   1 Za	slovami
   1 YUschenko	Ukrayina
   1 YUschenka	Katerina
   1 YUschenka	20
   1 YAroslav	Mendus
   1 Viiktora	YUschenka
   1 Ukrayins	kij
   1 Ukrayins	ka
   1 Tizhden	ua
   1 Tizhden	Peredruk
   1 Submit	novini
   1 Socpartiiyi	YAroslav
   1 Sociialiist	viidsudiv
   1 RedTram	Loading
   1 Pro	ce
   1 Povna	versiiya
   1 Pomaranchevogo	neba
   1 Pol	schii
   1 Podiil	s
   1 Peredruk	abo
   1 Otrimati	peredplatu
   1 Os	iinstrukciiyi
   1 Novini	RedTram
   1 Novini	14
   1 Nagadaiemo	zasnovnikom
   1 Mendusya	Podiil
   1 Mendus	yakij
   1 Mendus	stverdzhuie
   1 Loading	Otrimati
   1 Kiieva	viznav
   1 Katerini	YUschenko
   1 Katerina	Ukrayins
   1 JavaScript	u
   1 JavaScript	Os
   1 Dlya	povnoyi
   1 Android	iOS
   1 3000	zaplatiti
   1 3000	ie
   1 3000	bez
   1 2009	roku
   1 20	miiniimal
   1 14	02
   1 02	Sociialiist
