   3 zupinyayut	robotu
   3 yatnikiiv	Leniinu
   3 trolejbusiiv	cherez
   3 robotu	trolejbusiiv
   3 pam	yatnikiiv
   3 ku	zupinyayut
   3 ko	70
   3 cherez	borgi
   3 bliz	ko
   3 U	Sievierodonec
   3 Sievierodonec	ku
   3 Na	Mikolayivschinii
   3 Mikolayivschinii	dosii
   3 70	pam
   2 zakupit	trolejbusi
   2 vladi	ta
   2 trolejbusi	na
   2 totaliitarnogo	komuniistichnogo
   2 totaliitarnih	rezhimiiv
   2 stoyit	bliz
   2 shukati	narkologa
   2 scho	na
   2 s	kii
   2 prodovzhuie	shukati
   2 otrimali	25
   2 novih	avto
   2 no	U
   2 narkologa	Zajcevoyi
   2 na	kredit
   2 na	Hersonschinii
   2 miiscevoyi	vladi
   2 laboratoriiyi	na
   2 kredit	IEBRR
   2 komuniistichnogo	rezhimu
   2 kii	laboratoriiyi
   2 dosii	stoyit
   2 dosii	ne
   2 dekomuniizaciiyu	sche
   2 borgi	U
   2 UA	TV
   2 Siil	s
   2 Poliiciiya	prodovzhuie
   2 Mikolayivs	koyi
   2 Hersonschinii	otrimali
   2 Herson	zakupit
   2 Aktual	no
   2 25	novih
   1 zvernuvsya	do
   1 zvernennya	oblderzhadmiiniistraciiyi
   1 zv	yazku
   1 zupiniti	neyakiisnii
   1 zmiist	nese
   1 zgodi	ukrinform
   1 zavershiti	ochischennya
   1 zalishayut	sya
   1 zakonu	ta
   1 zakon	pro
   1 zakiinchit	sya
   1 zahistu	personal
   1 zaboronu	propagandi
   1 za	yihniij
   1 z	vimogoyu
   1 z	poznachkoyu
   1 z	pis
   1 z	cim
   1 z	Pol
   1 yu	Foto
   1 yihniij	zmiist
   1 yihn	oyi
   1 yazku	z
   1 yatnikah	shvidshe
   1 yatnik	pershomu
   1 yatnicya	28
   1 yakii	prisvyachenii
   1 yakih	materiialiiv
   1 ya	dumayu
   1 vulic	yakii
   1 vulic	a
   1 vse	skladniishe
   1 voyuvav	ii
   1 vkotre	zvernuvsya
   1 viznav	sebe
   1 vinnim	u
   1 vimogoyu	prijnyati
   1 vimog	Zakonu
   1 vimagaie	viid
   1 vikoristannii	bud
   1 vikonano	zakon
   1 viidpoviidal	niist
   1 viidkritii	dlya
   1 viidkriti	sche
