   3 kij	Soyuz
   3 Radyans	kij
   3 Novini	kanalu
   2 zrozumiilo	ukrayins
   2 ukrayins	ke
   2 suspiil	stvo
   2 suspiil	ne
   2 stvo	chomu
   2 rozpavsya	Radyans
   2 ke	suspiil
   2 ii	pro
   2 chomu	rozpavsya
   2 Suspiil	ne
   2 Potrapiti	na
   2 Onlajn	TB
   2 CHi	zrozumiilo
   1 zhovtnya	o
   1 zbuduvati	ii
   1 zaproshenimi	ekspertami
   1 zapitannya	a
   1 z	s
   1 z	prava
   1 yaku	bulo
   1 yakih	kitah
   1 vplinuli	na
   1 vipusku	programi
   1 viidpoviidii	na
   1 viideo	Onlajn
   1 veduchij	programi
   1 v	rozvalii
   1 utopiiyu	yaku
   1 usviidomili	ukrayincii
   1 ukrayincii	prichini
   1 u	novomu
   1 trudnoschii	vplinuli
   1 trimalosya	ce
   1 teroru	j
   1 te	chi
   1 takozh	proanaliizuvati
   1 takozh	ii
   1 t	have
   1 sya	30
   1 svogo	iisnuvannya
   1 sprobuvav	veduchij
   1 spravdii	Radyans
   1 sportu	Facebook
   1 sociiolog	IEvgen
   1 sociialiistichnoyi	mashini
   1 sistemi	scho
   1 scho	diiyala
   1 samogo	pochatku
   1 s	ogodennyam
   1 rozvalii	SRSR
   1 rovesnicya	nezalezhnostii
   1 rol	teroru
   1 respubliik	Dati
   1 razom	iiz
   1 provedut	analogiiyi
   1 programi	pogovoryat
   1 programi	Rozsekrechena
   1 program	VIIDEO
   1 proanaliizuvati	rol
   1 pro	utopiiyu
   1 pro	prinizliviist
   1 prirechenij	iiz
   1 prinizliviist	sistemi
   1 prichini	krahu
   1 prava	Ajshe
   1 pogovoryat	takozh
   1 pochatku	svogo
   1 ogodennyam	PRO
   1 ob	iednannya
   1 o	06
   1 novomu	vipusku
   1 novini	Novini
   1 nezalezhnostii	Ukrayini
   1 nemozhlivo	zbuduvati
   1 ne	movlennya
   1 ne	kiino
   1 ne	IEvrobachennya
   1 ne	De
   1 ne	BUTTON
   1 na	suspiil
   1 na	jogo
   1 na	cii
   1 na	Suspiil
   1 na	Pershomu
   1 movlennya	Potrapiti
   1 mashini	sprobuvav
   1 luck	BUTTON
   1 krahu	sociialiistichnoyi
   1 kitah	trimalosya
   1 kiino	Arhiiv
   1 kanalu	Veduchii
   1 kanalu	Novini
   1 kanalu	Anonsi
   1 jogo	ekonomiichnii
   1 jogo	dolyu
   1 javascript	enabled
   1 j	Ukrayini
   1 iiz	zaproshenimi
   1 iiz	samogo
   1 iistorik	Volodimir
   1 iistorik	Oleksandr
   1 iistoriiya	iistorik
   1 iisnuvannya	YAk
   1 ii	te
   1 ii	rovesnicya
   1 ii	provedut
   1 iednannya	respubliik
   1 have	javascript
   1 fahiivchinya	z
   1 enabled	Good
   1 ekspertami	Ekonomiist
   1 ekonomiichnii	trudnoschii
   1 dopomagaie	CHi
   1 don	t
   1 dolyu	Na
   1 divitis	Kontakti
   1 diiyala	ii
   1 cii	zapitannya
   1 chi	usviidomili
   1 ce	ob
   1 buv	prirechenij
   1 bulo	nemozhlivo
   1 analogiiyi	z
   1 a	takozh
   1 ____________________	Submit
   1 Ziinchenko	razom
   1 Youtube	Google
   1 You	don
   1 YAk	jogo
   1 Vse	viideo
   1 Volodimir	Golovko
   1 Viideo	Onlajn
   1 Veduchii	Menedzhment
   1 VIIDEO	Vse
   1 Uryadu	Kanadi
   1 Ukrayini	v
   1 Ukrayini	fahiivchinya
   1 Twitter	Youtube
   1 Tweet	CHi
   1 Teleprograma	Novini
   1 Teleprograma	NOVINI
   1 TB	suspiil
   1 TB	Teleprograma
   1 TA	SPORT
   1 Submit	Teleprograma
   1 Specproekti	Dokumental
   1 Soyuz	buv
   1 Soyuz	Diviit
   1 Soyuz	CHi
   1 Search	Novini
   1 SRSR	ii
   1 SPORT	Novini
   1 Rozsekrechena	iistoriiya
   1 Programi	Viideo
   1 Pershomu	Miizhnarodnii
   1 Pershij	dopomagaie
   1 Pashaver	sociiolog
   1 PROGRAMI	Ciklovii
   1 PRO	KANAL
   1 Oleksandr	Ziinchenko
   1 Oleksandr	Pashaver
   1 Novini	sportu
   1 Novini	na
   1 Novini	Programi
   1 Navigation	____________________
   1 Na	yakih
   1 NOVINI	TA
   1 Muzej	Suspiil
   1 Miizhnarodnii	novini
   1 Menedzhment	Muzej
   1 Mametova	u
   1 Kontakti	PROGRAMI
   1 Kanadi	
   1 KANAL	Novini
   1 IEvrobachennya	Search
   1 IEvgen	Golovaha
   1 Google	Uryadu
   1 Good	luck
   1 Golovko	ii
   1 Golovaha	iistorik
   1 Facebook	Twitter
   1 Ekonomiist	Oleksandr
   1 Dokumental	ne
   1 Diviit	sya
   1 De	divitis
   1 Dati	viidpoviidii
   1 Ciklovii	Specproekti
   1 CHi	spravdii
   1 BUTTON	Potrapiti
   1 BUTTON	Navigation
   1 Arhiiv	program
   1 Anonsi	Pershij
   1 Ajshe	Mametova
   1 30	zhovtnya
   1 06	00
   1 00	Tweet
