  69 націонал	соціалістичного
  68 соціалістичного	нацистського
  60 тоталітарних	режимів
  58 нацистського	тоталітарних
  53 комуністичного	та
  43 в	Україні
  38 України	Про
  36 та	націонал
  31 тоталітарного	режиму
  30 та	або
  29 їхньої	символіки
  24 засудження	комуністичного
  24 Україні	та
  24 режимів	в
  24 Закону	України
  24 Про	засудження
  23 заборону	пропаганди
  23 цим	Законом
  23 та	заборону
  20 комуністичного	тоталітарного
  20 пропаганди	їхньої
  20 СРСР	УРСР
  20 або	націонал
  19 радянських	республік
  19 державної	безпеки
  19 такого	змісту
  19 інших	союзних
  19 УСРР	інших
  19 УРСР	УСРР
  17 автономних	радянських
  17 Верховної	Ради
  16 Ради	України
  15 Відомості	Верховної
  15 України	або
  15 на	території
  15 а	також
  14 символіку	комуністичного
  14 території	України
  14 обіймали	керівні
  14 керівні	посади
  14 органах	влади
  14 України	у
  14 влади	та
  14 років	в
  14 які	обіймали
  14 та	управління
  13 комуністичної	партії
  13 української	науки
  13 розвитком	української
  13 населених	пунктів
  13 масової	інформації
  13 цього	Закону
  13 науки	та
  13 пов	язаних
  13 та	культури
  13 об	єктів
  13 в	установленому
  13 з	розвитком
  12 органів	державної
  12 язаних	з
  12 вищих	органах
  11 адміністративно	територіальних
  11 територіальних	одиницях
  11 законодавства	здійснює
  11 комуністичній	партії
  11 незалежність	України
  11 радянських	органів
  11 радянської	влади
  11 управління	СРСР
  11 відповідно	до
  11 учасників	боротьби
  11 здійснює	його
  11 боротьби	за
  11 окремих	адміністративно
  11 влади	на
  11 його	повноваження
  11 яка	відповідно
  11 або	в
  11 до	законодавства
  11 за	незалежність
  11 в	окремих
  11 У	разі
  11 у	XX
  11 XX	столітті
  11 1933	років
  11 1932	1933
  10 нацистського	тоталітарного
  10 набрання	чинності
  10 чинності	цим
  10 режимів	та
  10 посади	у
  10 цього	пункту
  10 зв	язку
  10 у	відповідність
  10 з	діяльністю
   9 переслідуванням	учасників
   9 встановленням	радянської
   9 відповідність	із
   9 тримісячний	строк
   9 діяльністю	комуністичної
   9 одиницях	переслідуванням
   9 язку	з
   9 пам	яті
   9 у	тримісячний
   8 адміністрації	або
   8 обчислюється	з
   8 закінчення	строку
   8 державної	адміністрації
   8 республік	крім
   8 обласної	державної
   8 містять	символіку
   8 частину	першу
   8 союзних	або
   8 рішення	про
   8 союзних	та
   8 якщо	протягом
   8 разі	якщо
   8 осіб	які
   8 або	автономних
   8 пам	ятників
   8 та	автономних
   8 та	інших
   8 об	єктам
   8 у	комуністичній
   8 з	цим
   8 з	дня
   7 символіки	комуністичного
   7 секретаря	районного
   7 районного	комітету
   7 комітету	і
   7 моменту	закінчення
   7 Законом	України
   7 партії	встановленням
   7 строку	визначеного
   7 посаду	секретаря
   7 Законі	України
   7 партії	посаду
   7 ятних	знаків
   7 першу	статті
   7 назви	яких
   7 крім	випадків
   7 яких	містять
   7 року	щодо
   7 пам	ятних
   7 з	урахуванням
   7 з	моменту
   7 у	Законі
   7 і	вище
   7 2014	р
   7 1991	років
   7 1917	1991
   6 представниками	комуністичного
   6 розпорядження	приймається
   6 рекомендацій	Українського
   6 Українського	інституту
   6 національної	пам
   6 географічних	об
   6 топоніміки	населених
   6 історичних	подій
   6 Голодомору	1932
   6 інституту	національної
   6 державної	реєстрації
   6 Міністрів	України
   6 Народної	Республіки
   6 прийнято	рішення
   6 фізичних	осіб
   6 порядку	не
   6 подіям	пов
   6 особам	які
   6 язаним	з
   6 права	власності
   6 єктам	права
   6 вимог	цього
   6 язані	з
   6 пов	язаним
   6 пов	язані
   6 та	їхньої
   6 у	формі
   6 У	зв
   5 комуністичного	націонал
   5 найменування	та
   5 працівникам	радянських
   5 друкованого	засобу
   5 зазначеного	в
   5 пропаганду	комуністичного
   5 Автономної	Республіки
   5 політичних	репресій
   5 набережних	мостів
   5 проспектів	площ
   5 Республіки	Крим
   5 Прикінцеві	та
   5 місцевого	самоврядування
   5 перехідні	положення
   5 Кабінетом	Міністрів
   5 доповнити	частиною
   5 юридичним	особам
   5 положення	Закону
   5 бульварів	вулиць
   5 юридичної	особи
