   6 ять	І
   6 П	ять
   5 Фото	ГДА
   5 ГДА	СБУ
   5 СБУ	2015
   5 те	що
   5 2015	р
   4 українських	архівів
   4 документів	в
   4 в	архівах
   4 INS	INS
   4 2018	_
   4 12	2018
   3 архівну	справу
   3 архіви	мають
   3 навіть	в
   3 в	архівній
   3 в	тому
   3 jpg	Фото
   2 Укрдержархів	має
   2 української	архівної
   2 індексації	документів
   2 соціальних	мережах
   2 Українська	правда
   2 Історична	правда
   2 архівної	реформи
   2 архівній	справі
   2 архівних	послуг
   2 Анатолій	Хромов
   2 цифрових	копій
   2 програми	Пам
   2 говорить	про
   2 Вахтанг	Кіпіані
   2 вільний	доступ
   2 архівів	та
   2 реформи	в
   2 архівів	і
   2 правда	Історична
   2 служби	та
   2 доступ	до
   2 Справа	в
   2 копій	документів
   2 слів	про
   2 лише	при
   2 тому	що
   2 вже	сьогодні
   2 ять	Світу
   2 які	можна
   2 той	час
   2 Пам	ять
   2 час	як
   2 про	те
   2 все	ще
   2 до	програми
   2 до	архівної
   2 як	мінімум
   2 Ці	кроки
   2 та	його
   2 он	лайн
   2 не	було
   2 зв	язки
   2 у	соціальних
   2 у	форматі
   2 в	архівну
   2 в	Україні
   2 в	той
   2 2017	року
   1 ТЕКСТИКОРОТКОКНИЖКИАРТЕФАКТИКОЛОНКИВІДЕОДАЙДЖЕСТІНТЕРВ	ЮСТУДІЇКАЛЕНДАРЕ
   1 центральноєвропейських	країн
   1 загальноукраїнському	рівні
   1 КСКУРСІЇБЛОГОСФЕРА	АВТОРИЗАЦІЯ
   1 Інтернаціональний	міжнародний
   1 ЮСТУДІЇКАЛЕНДАРЕ	КСКУРСІЇБЛОГОСФЕРА
   1 недофінансування	архівів
   1 малодослідженим	залишається
   1 передпенсійного	віку
   1 УВІЙТИВІДМІНИТИ	Якщо
   1 гіперпосиланням	на
   1 ПРОЕКТЗВОРОТНІЙ	ЗВ
   1 інтегрованості	національного
   1 інформаційному	суспільстві
   1 громадянському	суспільству
   1 інформатизації	внутрішніх
   1 централізувати	активність
   1 розповсюдження	передового
   1 реставраційних	матеріалів
   1 культурницьким	установам
   1 документообігу	звітності
   1 Інформатизація	Кількість
   1 культурницьких	установ
   1 Ініціативність	Принцип
   1 лібералізувала	доступ
   1 зареєструйтесь	Забули
   1 Інтегрованість	Врешті
   1 інформатизації	Для
   1 засекречування	та
   1 використовуйте	ті
   1 Загальновідомо	що
   1 інтегрованості	В
   1 затвердженого	українського
   1 нетиражованою	інформацією
   1 таоцифрування	документів
   1 національними	іноземними
   1 національного	архівного
   1 комнезамівців	Причетних
   1 запоказниками	вологості
   1 репрезентації	цифрових
   1 продовжується	тотальне
   1 невмотивовані	заборони
   1 запровадження	цифрових
   1 Чорнобильську	трагедію
   1 перевиконують	планові
   1 впроваджувати	приємні
   1 гендиректорки	ЮНЕСКО
   1 архівознавчої	освіти
   1 інформаційній	епосі
   1 інформаційної	війни
   1 Укрдержархіву	яка
   1 Укрдержархіву	все
   1 співробітники	як
   1 переоснащення	та
   1 краудфандингу	та
   1 краудсорсингу	На
   1 громадськість	до
   1 благодійників	та
   1 Укрдержархіву	на
   1 Документообіг	та
   1 електронного	документообігу
   1 користування	забезпечуючи
   1 внутрішнього	електронного
   1 необхідності	підтвердити
   1 Громадянське	суспільство
   1 європейський	культурний
   1 необхідності	збільшення
   1 недосконалої	нормативно
   1 коментування	публікацій
   1 збереженість	оригіналів
   1 генеалогічну	інформацію
   1 Використання	матеріалів
   1 скандального	нещодавно
   1 неможливості	виконання
   1 користувачів	очевидним
   1 користування	архівними
   1 Застосування	інновацій
   1 зацікавлених	наукових
   1 дослідниками	реальною
   1 використання	архівами
   1 Національний	архівний
   1 фінансування	архівів
   1 українського	Порядку
   1 спеціалістів	частина
