  10 Nazaruk	O
   8 12	18
   7 Osip	Nazaruk
   7 IIvana	Franka
   6 kul	tu
   6 Nova	Zorya
   5 tu	Franka
   5 Osipa	Nazaruka
   5 Lipins	kogo
   4 c	ogo
   4 Lipins	kij
   4 Franka	Nova
   3 vshanuvannya	Franka
   3 vizvol	nih
   3 ukrayins	kogo
   3 odnim	z
   3 noyi	partiiyi
   3 kul	t
   3 katolic	kij
   3 get	mans
   3 diiyal	niist
   3 chervnya	1932
   3 buv	odnim
   3 Ukrayins	koyi
   3 S	3
   3 Rudnic	kij
   3 Lisyak	Rudnic
   3 L	viiv
   3 Franko	buv
   3 28	12
   3 26	12
   3 1932	CH
   2 z	najbiil
   2 yacheslava	Lipins
   2 vs	o
   2 v	naciional
   2 uryadu	ZUNR
   2 upor	M
   2 ukrayins	kij
   2 ukrayins	kih
   2 uchast	v
   2 u	jogo
   2 tiil	ki
   2 te	scho
   2 sya	shvidshe
   2 sya	na
   2 svogo	chasu
   2 sviij	sviitoglyad
   2 sliid	skazati
   2 skazati	scho
   2 scho	u
   2 scho	mi
   2 scho	Nazaruk
   2 real	niist
   2 radikal	noyi
   2 radikal	no
   2 radikal	nii
   2 protivnikiiv	vshanuvannya
   2 prochitati	vse
   2 pro	IIvana
   2 predstavnik	uryadu
   2 porazki	ukrayins
   2 piizn	ogo
   2 piid	chas
   2 pererob	upor
   2 perebuvannya	v
   2 ogo	Franka
   2 nih	zmagan
   2 ne	mensh
   2 navernennya	piizn
   2 nariid	prinyati
   2 najbiil	shih
   2 naciional	nogo
   2 na	yakomu
   2 na	svoyih
   2 na	real
   2 na	moyu
   2 miinyayut	jogo
   2 mi	maiemo
   2 koyi	narodnoyi
   2 kim	Nazaruk
   2 kij	narod
   2 kih	vizvol
   2 iim	V
   2 ii	ne
   2 hotiiv	bi
   2 ge	dop
   2 dop	pererob
   2 do	V
   2 chervnya	1933
   2 buv	chas
   2 bol	shevizmu
   2 a	takozh
   2 a	same
   2 Zorya	19
   2 Zorya	1
   2 Viirtual	na
   2 Vid	2
   2 V	yacheslava
   2 V	Lipins
   2 T	7
   2 Strutins	ka
   2 Spogadi	pro
   2 S	2
   2 S	1
   2 Reliigiijne	navernennya
   2 O	Nazaruk
   2 Niikovs	kij
   2 Nazaruk	z
   2 Nazaruk	pisav
   2 Nazaruk	do
   2 M	Gnatyuk
   2 Lipins	kim
   2 Kamenyar	2011
   2 IIvan	Lisyak
   2 IIvan	Franko
   2 II	M
   2 II	Franka
   2 HII	S
   2 Grushevs	kogo
   2 Gnatyuk	L
   2 Frankom	ta
   2 Franka	yak
   2 Franka	bo
   2 Franka	Vid
   2 Franka	U
   2 Franka	Grushevs
   2 Fiiladel	fiiyi
   2 Dragomanova	Franka
   2 CH	Nazaruk
   2 CH	45
   2 CH	39
   2 A	CH
   2 9	10
   2 45	S
   2 39	S
   2 3	Nazaruk
   2 3	4
   2 27	12
   2 2	ge
   2 1933	CH
   2 1926	CH
   2 1909	r
   2 19	chervnya
   2 18	SHtuka
   2 18	Nauka
   2 1	chervnya
   1 zv	dragomaniivs
   1 zustriich	Nazaruka
   1 zrujnuvali	do
   1 zrobiv	korotkij
   1 zrobiv	jogo
   1 zriilomu	viicii
   1 zovsiim	ne
   1 zovsiim	iinshim
   1 zovsiim	iinshij
   1 zokrema	poriivnyavshi
   1 znyati	z
   1 znali	dokladniishe
   1 znakovoyi	osobistostii
   1 znaie	iistoriiya
   1 znahoditi	vihiid
   1 znachiinnya	reliig3iiyi
   1 zna	scho
   1 zmiinu	sviitoglyadu
   1 zmiinu	reliigiijnih
   1 zmiinoyu	poglyadiiv
   1 zmiinili	sviij
   1 zmiini	ce
