   8 12	18
   4 pol	s
   3 v	Ukrayinii
   3 te	scho
   3 moderniizaciiyi	Ukrayini
   3 dlya	Ukrayini
   3 c	ogo
   3 biil	she
   3 Pol	schii
   3 Anrii	Levii
   3 28	12
   3 26	12
   2 zayaviv	scho
   2 vsii	cii
   2 ukrayins	kih
   2 sya	shvidshe
   2 scho	ce
   2 s	kij
   2 rosiijs	kij
   2 robotodavciiv	Ukrayini
   2 real	niist
   2 prochitati	vse
   2 pracedavciiv	ta
   2 ogo	roku
   2 na	te
   2 na	real
   2 mav	bi
   2 kolishn	ogo
   2 kih	pracedavciiv
   2 ievropejs	koyi
   2 francuz	kij
   2 demar	Pavlyak
   2 chi	na
   2 borot	bii
   2 bii	za
   2 Vlodziimiezh	Ciimoshevich
   2 Viirtual	na
   2 Val	demar
   2 Pol	s
   2 Petro	GLADIIIEVS
   2 GLADIIIEVS	KIJ
   2 Bernar	Anrii
   2 27	12
   2 18	SHtuka
   2 18	Nauka
   1 zviit	mozhu
   1 zviit	AMU
   1 zvernesh	uvagu
   1 zrozumiiti	chogo
   1 zrozumiiloyu	schojno
   1 zrozumiilim	Adzhe
   1 zrobiti	sviij
   1 zrobiti	oskiil
   1 zonami	IEvropejs
   1 znav	z
   1 znav	scho
   1 znav	ale
   1 znanij	rosiijs
   1 znajti	dovolii
   1 znajdeno	Prichomu
   1 znaiete	ne
   1 znaie	hto
   1 zmusiti	jogo
   1 zmiinyuvav	svoyi
   1 zmalyuvannii	miizhlyuds
   1 ziibrav	navkolo
   1 zii	skladnih
   1 zhodnoyi	problemi
   1 zhittii	lyudini
   1 zhe	za
   1 zh	tezh
   1 zgortaiet	sya
   1 zgodu	doluchitisya
   1 zgodom	do
   1 zgadati	zaluchennya
   1 zgadanij	francuz
   1 zemlya	krugla
   1 zdivuvannya	moderniizaciiyi
   1 zdavalosya	b
   1 zbruc	eu
   1 zbroyu	v
   1 zayaviv	rado
   1 zayaviti	scho
   1 zayavilo	pro
   1 zavdannyam	dlya
   1 zatverdiv	scho
   1 zasviidchuie	scho
   1 zastavu	dlya
   1 zasiidannyam	na
   1 zapopasti	Fiirtasha
   1 zaplativ	yih
   1 zanadto	korotke
   1 zamorozhenomu	stanii
   1 zamiinu	II
   1 zaluchennya	takoyi
   1 zaluchennya	do
   1 zalishaiet	sya
   1 zalii	Palais
   1 zakupi	v
   1 zakordonnih	sprav
   1 zajvoyi	skromnostii
   1 zahodu	stav
   1 zahodii	za
   1 zadumom	Fiirtasha
   1 zadumajmosya	nad
   1 zaboronili	naciionaliistichnij
   1 za	zadumom
   1 za	uvagoyu
   1 za	umovi
   1 za	scho
   1 za	prezidentstvo
   1 za	poperedniimi
   1 za	piivtora
   1 za	odnogo
   1 za	mirotvorciiv
   1 za	minulii
   1 za	kalambur
   1 za	g3ratami
   1 za	Ukrayinu
   1 za	Biilorus
   1 z	uryadom
   1 z	tim
   1 z	rekomendaciiyami
   1 z	rekomendaciij
   1 z	potenciijnimi
   1 z	opal
   1 z	oliigarhami
   1 z	odiioznim
   1 z	oboma
   1 z	najmogutniishih
   1 z	majbutniim
   1 z	krizi
   1 z	korupciiieyu
   1 z	kim
   1 z	gri
   1 z	Viidnya
   1 z	Ternopiil
   1 z	Rosiiieyu
   1 z	Fiirtashem
   1 z	Avstriiyi
   1 z	Ag3entstvom
   1 yusticiiyi	Avstriiyi
   1 yu	zayaviv
   1 yiyi	znajti
   1 yiyi	rol
   1 yih	yakijs
   1 yaznenih	oliigarhiiv
   1 yattya	prizvodit
   1 yasnim	26
   1 yardiiv	dolariiv
   1 yakoyi	ii
   1 yakomu	razii
   1 yakomu	malo
   1 yakogo	hodiv
   1 yako	kazhuchi
   1 yakijs	ne
   1 yakij	trimav
   1 yakij	ciilkovito
   1 yakii	jogo
   1 yaka	nese
   1 yak	vpravno
   1 yak	vi
   1 yak	provaditi
   1 yak	prolunalo
   1 yak	mistectvo
   1 yak	Pavlyak
   1 ya	roblyu
   1 vzyavsya	za
   1 vzyav	dvoh
   1 vzhe	zgadanij
   1 vzhe	serjozno
   1 vzhe	nabridla
   1 vzhe	12
   1 vzaiemin	lyubovnih
   1 vvazhayu	scho
   1 vstignuti	prochitati
   1 vsiih	piidvodnih
   1 vse	viglyadalo
   1 vse	bazhane
   1 vse	Mozhlivo
   1 vpravno	riik
   1 vplivom	na
   1 vplivali	na
   1 vplivaie	na
   1 vona	cherez
   1 volyu	125
   1 volodiinnii	slovom
   1 vnesok	u
   1 vmivaie	ruki
   1 vladi	povernulisya
   1 vivchennya	samosviidomostii
   1 vitrati	dlya
   1 vitrachayut	na
   1 vitiik	iinformaciiyi
   1 vistupiv	proti
   1 vislovlyuvannyami	Takozh
   1 vislovili	zgodu
   1 vislovili	bazhannya
   1 viriishitisya	pitannya
   1 virazno	proukrayins
   1 vinu	na
   1 vikoristannya	materiialiiv
   1 viklikav	prinajmnii
   1 viitaiet	sya
   1 viirtuoznomu	volodiinnii
   1 viin	zhe
   1 viin	ocholyuvav
