   4 v	Ukrayinii
   3 yaka	najbiil
   3 u	prezidenti
   3 she	ciikavit
   3 pro	ob
   3 potenciijnih	kandidatiiv
   3 piidpisali	deklaraciiyu
   3 oblast	yaka
   3 ob	iednannya
   3 nazvala	oblast
   3 najbiil	she
   3 kandidatiiv	u
   3 deklaraciiyu	pro
   3 ciikavit	potenciijnih
   3 OPORA	nazvala
   2 viriishuiet	sya
   2 viidkriie	sche
   2 u	Pol
   2 tri	konsul
   2 sya	ii
   2 stva	u
   2 sociialiisti	piidpisali
   2 sche	tri
   2 pozbavlyaie	lyudej
   2 partiiya	Spravedliviist
   2 partiiya	Sociialiisti
   2 no	OPORA
   2 niimec	kij
   2 lyudej	klyuchovogo
   2 kritichnogo	mislennya
   2 konsul	stva
   2 klyuchovogo	kritichnogo
   2 kij	deputat
   2 kii	sociialiisti
   2 ii	v
   2 Ukrayins	kii
   2 Ukrayinii	niimec
   2 Ukrayina	viidkriie
   2 UA	TV
   2 Rezhim	RF
   2 RF	pozbavlyaie
   2 Pol	schii
   2 Majbutnie	IEvropi
   2 IEvropi	viriishuiet
   2 Dzhaparova	Rezhim
   2 Aktual	no
   1 zviil	niti
   1 zviil	nennya
   1 zrostaie	piislya
   1 zmiist	nese
   1 zgodi	ukrinform
   1 zayavlyayut	scho
   1 zapitannya	pro
   1 zahodu	rozglyanuli
   1 zahistu	personal
   1 za	yihniij
   1 za	uchastyu
   1 z	vesni
   1 z	poznachkoyu
   1 z	pis
   1 z	kiimnati
   1 yu	Foto
   1 yihniij	zmiist
   1 yatnicya	28
   1 yakij	projshov
   1 yakii	partiiya
   1 yakih	materiialiiv
   1 vzyali	uchast
   1 vtruchatisya	u
   1 vimagayut	zviil
   1 vikoristannii	bud
   1 vijshli	z
   1 viidviidaie	Odeschinu
   1 viidpoviidal	niist
   1 viidkritii	dlya
   1 viidbulosya	piid
   1 viborchii	procesi
   1 vesni	potochnogo
   1 veresnya	Ce
   1 v	IInternetii
   1 uzhe	pochala
