   6 Okasiio	Kortes
   4 Visokij	Zamok
   4 INS	INS
   4 Demokratichnoyi	partiiyi
   3 yiyi	foto
   3 visit	yiyi
   3 restoranii	Flats
   3 privid	sociialiizmu
   3 meksikans	komu
   3 komu	restoranii
   3 dosii	visit
   3 de	Aleksandriiya
   3 blukaie	privid
   3 U	meksikans
   3 U	listopadii
   3 N	yu
   3 IInterv	yu
   3 Flats	Fix
   3 Fix	de
   3 Amerikoyu	blukaie
   3 Aleksandriiya	Okasiio
   3 28	riichna
   2 zviil	niti
   2 zhiinka	maie
   2 zdorova	zhiinka
   2 zbitisya	z
   2 zbiil	shuvatime
   2 zatrimali	bojovika
   2 z	kursu
   2 yu	Jorku
   2 yakij	raniishe
   2 voiennij	stan
   2 vipravdav	sebe
   2 vimagayut	viid
   2 viijs	kovii
   2 viidverto	liivii
   2 viid	Rosiiyi
   2 viid	Demokratichnoyi
   2 usii	shansi
   2 usii	podrobicii
   2 ura	patriiotichnogo
   2 ukrayins	kih
   2 ukrayins	ke
   2 u	gubernatori
   2 u	N
   2 u	MVS
   2 ta	Makron
   2 stati	kongresmenom
   2 shuvatime	pajku
   2 shansi	stati
   2 sha	nebezpeka
   2 sebe	voiennij
   2 riichna	zhiinka
   2 raniishe	pracyuvav
   2 pracyuvav	u
   2 patriiotichnogo	geroyinu
   2 pajku	ura
   2 novina	28
   2 niti	ukrayins
   2 nebezpeka	zbitisya
   2 miisto	viideoblog
   2 maie	usii
   2 listopadii	cya
   2 kovii	zatrimali
   2 kongresmenom	Foto
   2 kii	viijs
   2 kih	moryakiiv
   2 keriivnictva	Demokratichnoyi
   2 ke	miisto
   2 ke	Karikatura
   2 kandidatiiv	viid
   2 ii	bliz
   2 here	Visokij
   2 gotuvala	driinki
   2 geroyinu	dlya
   2 foto	U
   2 driinki	dosii
   2 dlya	rosiiyan
   2 diivchinka	zdorova
   2 cya	28
   2 bojovika	yakij
   2 bliz	ke
   2 are	here
   2 ____________________	BUTTON
   2 Zdorova	diivchinka
   2 Zamok	Stattii
   2 YouTube	RSS
   2 You	are
   2 Ukrayins	kii
   2 Ukrayina	Sviit
   2 Twitter	Telegram
   2 Telegram	Google
   2 TOP	novina
   2 Sviit	Ekonomiika
   2 Stattii	Amerikoyu
   2 Rosiiyi	zviil
   2 Putiin	zbiil
   2 Plus	Pinterest
   2 Pinterest	Instagram
   2 Novini	Ukrayina
   2 Najbiil	sha
   2 Moskva	ukrayins
   2 Merkel	ta
   2 Makron	vimagayut
   2 MVS	usii
   2 Kortes	gotuvala
   2 Instagram	YouTube
   2 Google	Plus
   2 Foto	AR
   2 Facebook	Twitter
   2 Daleke	ii
   2 CHi	vipravdav
   2 28	12
   2 12	2018
   1 zustriichah	viborciiv
   1 zmiinyuvatisya	Zokrema
   1 zmiinyuiet	sya
   1 ziibrali	razom
   1 zii	shtatu
   1 zhurnal	New
   1 zhodnogo	dnya
   1 zhiinok	Stejsii
   1 zhiinka	Eliina
   1 zhiinka	CHi
   1 zbirayuchi	po
   1 zayavlyaie	scho
   1 zasnovana	7
   1 zakritomu	vistupii
   1 zakonom	Ukrayini
   1 zajmalasya	vlasnoyu
   1 zahischenii	Pri
   1 zagal	nonaciional
   1 za	piidtrimki
   1 za	liicenziiieyu
   1 za	kiil
   1 za	barnoyu
   1 z	vnutriishn
   1 z	tisyachami
   1 yujorkciiv	U
   1 yu	jorkciiv
   1 yu	__________________________________________________________________
   1 yu	Jorks
   1 yu	Foto
   1 yu	Blogi
   1 yiyi	peremogi
   1 yiyi	kandidatiiv
   1 yazkovim	Prava
   1 yatnicyu	Vsii
   1 yataiete	Bernii
   1 yarderu	Trampu
   1 yaku	piidtrimalo
   1 yakomu	vona
   1 yakij	vchasno
   1 yakij	nazivav
   1 yakij	mav
   1 yakii	piislya
   1 yakii	naselyayut
   1 yaka	vigrala
   1 yaka	hoche
   1 yak	ii
   1 yak	Povaliij
   1 wyborcza	pl
   1 working	people
   1 vzagalii	zhodnogo
   1 vvazhalisya	u
   1 vtomilisya	Trampovii
   1 vsiih	amerikanciiv
