   4 Visokij	Zamok
   4 Oleksandra	Moroza
   3 Zamok	Novini
   3 Na	liiteraturnomu
   3 INS	INS
   3 IInterv	yu
   2 zdorova	zhiinka
   2 zbitisya	z
   2 zbiil	shuvatime
   2 z	kursu
   2 voiennij	stan
   2 vipravdav	sebe
   2 ura	patriiotichnogo
   2 ukrayins	ke
   2 shuvatime	pajku
   2 sha	nebezpeka
   2 sebe	voiennij
   2 scho	toj
   2 piid	chas
   2 patriiotichnogo	geroyinu
   2 pajku	ura
   2 nebezpeka	zbitisya
   2 miisto	viideoblog
   2 liiteraturnomu	cherez
   2 kiil	koh
   2 ke	miisto
   2 ke	Karikatura
   2 ii	bliz
   2 here	Visokij
   2 geroyinu	dlya
   2 dlya	rosiiyan
   2 diivchinka	zdorova
   2 cherez	Oleksandra
   2 chas	ceremoniiyi
   2 ceremoniiyi	nagorodzhennya
   2 ce	ii
   2 bliz	ke
   2 are	here
   2 ____________________	BUTTON
   2 Zdorova	diivchinka
   2 YouTube	RSS
   2 You	are
   2 Ukrayina	Sviit
   2 Twitter	Telegram
   2 Telegram	Google
   2 Sviit	Ekonomiika
   2 Putiin	zbiil
   2 Plus	Pinterest
   2 Pinterest	Instagram
   2 Novini	Ukrayina
   2 Novini	Na
   2 Najbiil	sha
   2 Moskva	ukrayins
   2 Instagram	YouTube
   2 Google	Plus
   2 Facebook	Twitter
   2 Daleke	ii
   2 CHi	vipravdav
   1 zokrema	v
   1 zhurii	konkursu
   1 zhiinka	Eliina
   1 zhiinka	CHi
   1 zgaduvav	diiyi
   1 zdavalosya	b
   1 zbiirok	2006
   1 zbiirku	viirshiiv
   1 zaznachiv	Logush
   1 zasobah	masovoyi
   1 zasnovnik	konkursu
   1 zasnovana	7
   1 zakonom	Ukrayini
   1 zahischenii	Pri
   1 za	zbiirku
   1 za	viznannya
   1 za	prorosiijs
   1 za	naklad
   1 za	liicenziiieyu
   1 z	viidkritih
   1 z	ukrayins
   1 z	nas
   1 z	laureatiiv
   1 z	iinformaciiieyu
   1 z	V
   1 yu	__________________________________________________________________
   1 yu	Foto
   1 yu	Blogi
   1 youtube	com
   1 yiyi	prisudzhuyut
   1 yiyi	movi
   1 yazuvannya	avtonomiiyi
   1 yazkovim	Prava
   1 yatnicyu	Vsii
   1 yakii	nam
   1 yaka	raniishe
   1 yacheslavom	CHornovolom
   1 www	youtube
   1 vsii	materiiali
   1 vruchayut	piid
   1 vodnochas	poskarzhivsya
   1 vladii	tomu
   1 viznati	scho
   1 viznannya	vodnochas
   1 vistupiv	zasnovnik
   1 vismiiyuvali	u
   1 vina	samogo
   1 vimagati	v
   1 vikoristannii	materiialiiv
   1 viivtorok	chetver
   1 viirshiiv	Prote
   1 viidznachili	za
   1 viidpoviid	vistupiv
   1 viidkritih	dzherel
   1 viideoblog	YAniina
   1 viideoblog	Najbiil
   1 viidbulasya	7
   1 vigrizati	A
   1 vidavec	ta
   1 veresnya	1991
   1 velikoyu	zaznachiv
   1 vasha	poliitika
   1 vam	skazhu
   1 v	kul
   1 v	gazetii
   1 v	cej
   1 v	Moroza
   1 v	Kiievii
   1 us	ogo
   1 ukrayins	koyu
   1 ukrayins	koyi
   1 u	viivtorok
   1 u	svoyih
   1 u	derzhavii
   1 turii	ce
   1 turi	U
   1 trivalij	chas
   1 tomu	stan
   1 toj	sam
   1 toj	buv
   1 togo	scho
   1 togo	ne
