   5 IInterv	yu
   4 Visokij	Zamok
   4 INS	INS
   3 Derzhava	povinna
   2 zviil	niti
   2 zhittya	za
   2 zdorova	zhiinka
   2 zbitisya	z
   2 zbiil	shuvatime
   2 zatrimali	bojovika
   2 z	kursu
   2 yu	zhittya
   2 yakij	raniishe
   2 voiennij	stan
   2 vipravdav	sebe
   2 vimagayut	viid
   2 viijs	kovii
   2 viid	Rosiiyi
   2 usii	podrobicii
   2 ura	patriiotichnogo
   2 ukrayins	kih
   2 ukrayins	ke
   2 u	MVS
   2 tri	roki
   2 togo	schob
   2 ta	Makron
   2 shuvatime	pajku
   2 sha	nebezpeka
   2 sebe	voiennij
   2 scho	ne
   2 raniishe	pracyuvav
   2 progoloshennya	Nezalezhnostii
   2 pracyuvav	u
   2 patriiotichnogo	geroyinu
   2 pajku	ura
   2 novina	28
   2 niti	ukrayins
   2 nebezpeka	zbitisya
   2 nashoyi	Nezalezhnostii
   2 naciional	nii
   2 miisto	viideoblog
   2 koyi	krayini
   2 kovii	zatrimali
   2 kii	viijs
   2 kih	moryakiiv
   2 ke	miisto
   2 ke	Karikatura
   2 ii	bliz
   2 ievropejs	koyi
   2 here	Visokij
   2 geroyinu	dlya
   2 do	togo
   2 do	nas
   2 dlya	rosiiyan
   2 diivchinka	zdorova
   2 bojovika	yakij
   2 bliz	ke
   2 biil	she
   2 are	here
   2 a	ne
   2 ____________________	BUTTON
   2 Zdorova	diivchinka
   2 Zamok	IInterv
   2 YouTube	RSS
   2 You	are
   2 Ukrayinu	yakii
   2 Ukrayins	kii
   2 Ukrayina	Sviit
   2 Twitter	Telegram
   2 Telegram	Google
   2 TOP	novina
   2 Sviit	Ekonomiika
   2 Rosiiyi	zviil
   2 Rosiiyi	Cya
   2 Putiin	zbiil
   2 Plus	Pinterest
   2 Pinterest	Instagram
   2 Novini	Ukrayina
   2 Najbiil	sha
   2 Moskva	ukrayins
   2 Merkel	ta
   2 Makron	vimagayut
   2 MVS	usii
   2 Instagram	YouTube
   2 IIvan	Fariion
   2 Google	Plus
   2 Facebook	Twitter
   2 Daleke	ii
   2 CHi	vipravdav
   2 28	12
   2 12	2018
   1 zvernuti	uvagu
   1 zrazka	zalishilosya
   1 zobov	yazana
   1 znischiti	iistoriiyu
   1 znischeno	Postala
   1 zneshkodzhuvati	p
   1 znaie	pro
   1 zmiinu	ciij
   1 zmiicnyuvati	svoyi
   1 zmiicnennya	derzhavnih
   1 ziibrali	razom
   1 zhorstoka	ne
   1 zhittya	zhittya
   1 zhittya	Novini
   1 zhittya	IIvan
   1 zhiinka	Eliina
   1 zhiinka	CHi
   1 zhahlivimi	vadami
   1 zbiil	shuvati
   1 zbagnuti	naskiil
   1 zayavku	na
   1 zayavka	pro
   1 zavzhdi	prihil
   1 zavodyat	nedrugi
   1 zasnovana	7
   1 zaraz	rozbudovuiemo
   1 zaprovadzhennya	movnih
   1 zaprogramovana	Tomu
   1 zaporukoyu	nashoyi
   1 zalishilosya	bagato
   1 zakritomu	vistupii
   1 zakonomiirniist	davnim
   1 zakonom	Ukrayini
   1 zahistu	vlasnoyi
   1 zahistu	svoyih
   1 zahistili	Ukrayinu
   1 zahischenii	Pri
   1 zahischali	vladnu
   1 zaboronyati	rozmovlyati
   1 za	priizvischami
   1 za	nazvami
   1 za	nami
   1 za	metaforichnim
   1 za	liicenziiieyu
   1 za	Viitchiznu
   1 za	Ukrayinu
   1 z	yavilisya
   1 z	velikimi
   1 z	usiima
   1 z	prisudzhennya
   1 z	nas
   1 z	lyudinoyu
   1 z	krokiiv
   1 z	chasu
   1 z	Nezalezhniist
   1 z	IIzrayilyu
   1 z	IEvrosoyuzom
   1 yu	__________________________________________________________________
   1 yu	Foto
   1 yu	Blogi
   1 yiyi	u
   1 yiyi	progoloshennya
   1 yazkovim	Prava
   1 yazana	riishuche
   1 yavilisya	naciional
   1 yatu	kolonu
   1 yatnicyu	Vsii
   1 yatiij	kolonii
   1 yatayuchi	scho
   1 yatati	scho
   1 yaku	zaraz
   1 yaku	spodiivayusya
   1 yakscho	ie
