   8 s	ogodnii
   7 v	Ukrayinii
   4 ta	Kapliina
   4 kii	sociialiisti
   3 u	komentarii
   3 radyans	koyi
   3 ne	mayut
   3 cn	Veselyj
   3 ____________________________________________________________	____________________________________________________________
   3 Viizkovs	kij
   3 Veselyj	Rodzher
   3 Oschanovs	kij
   3 Karas	ov
   3 Hristiyans	kii
   3 Dobkiina	ta
   2 ukrayins	kiij
   2 ukrayins	kii
   2 ukrayins	kih
   2 ua	Elena
   2 ta	Dobkiina
   2 sya	u
   2 sya	do
   2 spiil	nogo
   2 sociialiistichnih	partiij
   2 sociial	nu
   2 scho	v
   2 rasskazalo	kak
   2 ragulej	nikto
   2 prihil	nikiiv
   2 poliitichniij	arenii
   2 poliitichnii	sili
   2 perekonanij	scho
   2 partiiyu	Hristiyans
   2 partiiyi	Kapliina
   2 partiij	na
   2 partiij	Dobkiina
   2 ogodnii	v
   2 ogodnii	ie
   2 nu	ta
   2 nogo	z
   2 niz	kii
   2 niichogo	spiil
   2 nii	poslugi
   2 ne	mozhna
   2 naspravdii	ie
   2 na	ukrayins
   2 na	Ukraine
   2 mayut	niichogo
   2 liivogo	ruhu
   2 liivimi	poglyadami
   2 liivih	partiij
   2 koyi	spadschini
   2 komunal	nii
   2 kak	Farery
   2 jdet	sya
   2 hochet	sya
   2 evropejskie	sankcii
   2 dlya	togo
   2 cih	poliitichnih
   2 ce	v
   2 c	ogo
   2 abo	zh
   2 Sveriges	Radio
   2 Same	tomu
   2 Radio	rasskazalo
   2 Mojsha	Elena
   2 Mihajla	Dobkiina
   2 Kiva	ta
   2 Kapliina	ta
   2 II	tut
   2 Farery	evropejskie
   2 Cibul	ko
   1 zvernuti	na
   1 zroslo	U
   1 zovanii	materialov
   1 zoru	bezperspektivne
   1 znaiemo	yak
   1 znachno	zroslo
   1 zmiishanu	model
   1 zmiinivsya	lishe
   1 ziigrati	na
   1 zhodnomu	razii
   1 zhodnogo	uyavlennya
   1 zhittya	ne
   1 zhittya	Brehnya
   1 zhenschin	opredelivshih
   1 zh	yakii
   1 zh	nejtral
   1 zh	konservativnii
   1 zh	cii
   1 zaznachiv	scho
   1 zayaviv	scho
   1 zayavil	chto
   1 zayavi	Dobkiina
   1 zavzhdi	sociialiisti
   1 zavisima	ot
   1 zavdyaki	profspiilkam
   1 zavdyaki	niij
   1 zasnuvannya	jdet
   1 zarplati	visokii
   1 zarobiti	sobii
   1 zaraz	boryut
   1 zarabatyvaya	otsasyvaniem
   1 zaprescheny	Fotografii
   1 zaprescheno	citirovat
   1 zalezhnostii	Po
   1 zakrytoj	ot
   1 zakladayut	pravii
   1 zajnyatij	adekvatnoyu
   1 zahist	prav
   1 zagrozu	dlya
   1 zabrati	golosi
   1 za	yaku
   1 za	svet
   1 za	rybu
   1 za	ragulej
   1 za	groshi
   1 za	avtorskie
   1 z	velicheznimi
   1 z	sociialiizmom
   1 z	radyans
   1 z	nimi
   1 z	najvischimi
   1 z	momentu
   1 z	liivoyu
   1 z	liivimi
   1 z	liiderami
   1 z	hristiyans
   1 z	ekonomiichnoyi
   1 z	cim
   1 z	Kivoyu
   1 z	2014
   1 yiyi	zasnuvannya
   1 yihn	ogo
   1 yih	liideriiv
   1 yan	Oschanovs
   1 yaku	zaraz
   1 yakoyi	neschodavno
   1 yakostii	poliitika
   1 yakij	v
   1 yakij	ne
   1 yakii	obrali
   1 yakii	mozhut
   1 yakii	aktivno
   1 yaka	poiednala
   1 yaka	mozhe
   1 yaka	bude
   1 yak	vsii
   1 yak	spravzhnya
   1 yak	priklad
   1 yak	poruch
   1 yak	miiniimum
   1 yak	Petro
   1 yagnyat	Portlend
   1 ya	sumniivayusya
   1 ya	pobegu
   1 ya	b
   1 vzryva	transformatora
   1 vzhe	ne
   1 vzhe	maiemo
   1 vzaiemoviklyuchnii	tradiciiyu
   1 vybory	Ukrainskaya
   1 vvazhaie	poliitolog
   1 vvazhaie	Viizkovs
   1 vulicyam	miista
   1 vtiiliti	v
   1 vsii	znaiemo
   1 vsii	poliitichnii
   1 vosproizvodit	tekstovye
   1 vosproizvedenii	ili
   1 vosproizvedenie	informacii
   1 vona	masovoyu
   1 vona	bude
   1 volontiorskie	noski
   1 vojny	na
   1 vnosit	izmeneniya
   1 vlast	ob
   1 vlast	na
   1 vlasnoyi	derzhavnoyi
   1 vk	com
   1 visokii	tarifi
   1 vischezgadanii	partiiyi
   1 viriishiv	diiznatisya
   1 vinikayut	problemi
   1 vinikaie	ciikave
   1 vikoristovuvatimut	u
   1 vikoristovuvali	iinstrument
   1 vikoristav	taku
   1 vikoristati	Kapliin
   1 viitchiznyanomu	elektoral
   1 viitchiznyaniij	poliiticii
   1 viitchiznyanii	profspiilki
   1 viiriti	v
   1 viiriti	naviit
   1 viin	ne
   1 viijna	perestaie
   1 viidstalu	promisloviist
   1 viidrodzhuyut	sya
   1 viidrodzhuiet	sya
   1 viidrodzhennya	iidej
   1 viidomim	zavdyaki
   1 viidnovlennya	SRSR
   1 viidmiitiv	scho
   1 viidbirati	golosi
   1 viid	sociialiistichnoyi
   1 vihodyat	niz
   1 vidiiliv	partiiyu
   1 vide	strogo
   1 vidannyu	zayaviv
   1 vidaiet	sya
   1 viboriiv	Partiiyi
   1 vibori	dlya
   1 vibori	Mi
   1 viborciiv	u
   1 vi	podiviit
   1 vhodzhennya	u
   1 velicheznimi	statkami
   1 velichezna	problema
   1 vektor	nashoyi
   1 vdale	piidg3runtya
   1 vassal	no
   1 vas	to
   1 varto	viiriti
   1 v	zhodnomu
   1 v	zhittya
   1 v	yakostii
   1 v	ukrayins
   1 v	teksty
   1 v	taku
   1 v	soc
   1 v	sobii
   1 v	kakom
   1 v	iinshih
   1 v	ekspertnomu
   1 v	chas
   1 v	amerike
   1 v	akkreditacii
   1 v	Rosiiyi
   1 v	Niimechchinii
   1 v	Mezhdunarodnyj
   1 uyavlennya	ii
   1 uvagu	hochet
   1 uvagi	Poliitolog
   1 uspiishnoyu	SCHodo
   1 uspiishnii	krayini
   1 us	Gost
   1 umovi	dlya
   1 umirat	ne
   1 ukrayins	kogo
   1 ukrayinofobs	kii
   1 ukrayinciiv	Na
   1 ukazaniya	imeni
   1 ukazaniya	aktivnoj
   1 ugolovnyj	sud
   1 ucheniya	sho
   1 ua	ukazaniya
   1 ua	Rodzheru
   1 u	yih
   1 u	viitchiznyaniij
   1 u	vhodzhennya
   1 u	svoyu
   1 u	svoyij
   1 u	svoyih
   1 u	sobii
   1 u	poriivnyannii
   1 u	periiod
   1 u	partiiyah
   1 u	novih
   1 u	naciional
   1 u	liivomu
   1 u	liiviij
   1 u	cih
   1 u	cej
   1 u	biil
   1 u	Norvegii
   1 u	Krivomu
   1 u	Bat
   1 u	5
   1 twitter	com
   1 tvoim	slovam
   1 tut	vinikayut
   1 tut	sprava
   1 tut	pishite
   1 tut	ie
   1 tut	hot
   1 tut	Dobkiin
   1 trioh	zhenschin
   1 transformatora	ua
   1 tradiciiyu	ii
   1 tomu	vinikaie
   1 tomu	sproba
   1 tomu	primarnoyu
   1 tomu	povernennya
   1 tomu	ne
   1 tol	ko
   1 togo	zh
   1 togo	schob
   1 togo	scho
   1 togo	abi
   1 tochki	zoru
   1 to	shprotami
   1 to	Na
   1 to	32
   1 tisyach	griven
   1 tii	hto
   1 territorii	Rossii
   1 terenah	II
   1 teper	zmiinivsya
   1 teksty	bez
   1 tekstovye	materialy
   1 td	Tomu
   1 tarifi	na
   1 tam	de
   1 takzhe	vnosit
   1 taku	poliitichnu
   1 taku	nestandartnu
   1 takozh	zaznachiv
   1 takozh	skeptichno
   1 takozh	ne
   1 tak	us
   1 tak	opisav
   1 taborii	Voni
   1 ta	zarobiti
   1 ta	uspiishnii
   1 ta	spravedliviist
   1 ta	radyans
   1 ta	poliitichnu
   1 ta	poliitichnii
   1 ta	kupiivel
   1 ta	ekonomiichnu
   1 ta	biiznesmen
   1 ta	YUliiya
   1 ta	V
   1 ta	Sociialiistichna
   1 ta	Siingapuru
   1 ta	Sergiij
   1 ta	Dobkiin
   1 ta	BPP
   1 sya	zvernuti
   1 sya	z
   1 sya	yak
   1 sya	scho
   1 sya	perspektiva
   1 sya	oliigarhami
   1 sya	na
   1 sya	miizh
   1 sya	liivimi
