   4 verhovenstva	prava
   4 v	Ukrayinii
   4 Partiiya	regiioniiv
   3 te	scho
   3 sil	nogo
   3 pro	spiivpracyu
   3 prav	lyudini
   3 nogo	signalu
   3 kii	sociialiisti
   3 c	omu
   3 Partiiyi	regiioniiv
   3 0	0
   2 zhurnalu	Reklama
   2 zakriiplennya	kursu
   2 zahistu	prav
   2 yakih	bazuiet
   2 viidklikati	ugodu
   2 viid	Partiiyi
   2 viice	prezident
   2 v	zhurnalii
   2 ugodu	pro
   2 termiini	zakriiplennya
   2 sya	ievropejs
   2 spiivpracyu	z
   2 sociialiistiiv	ii
   2 sociialiisti	chekayut
   2 signalu	viid
   2 rozshiriv	embargo
   2 rozmiischena	v
   2 rosiijs	kii
   2 pro	te
   2 prezident	grupi
   2 prava	v
   2 poznachiv	termiini
   2 potriibna	nova
   2 posilannya	na
   2 poliitichnii	partiiyi
   2 ochiikuiemo	scho
   2 nova	model
   2 na	yakih
   2 na	sajtii
   2 na	rosiijs
   2 mi	ne
   2 mi	hotiili
   2 lyudini	ii
   2 kursu	na
   2 koristuvannya	sajtom
   2 ka	iintegraciiya
   2 ii	verhovenstva
   2 ii	demokratiiv
   2 ievropejs	kii
   2 ievropejs	ka
   2 hotiili	b
   2 grupi	sociialiistiiv
   2 embargo	na
   2 chekayut	sil
   2 buti	rozmiischena
   2 bazuiet	sya
   2 b	bachiti
   2 YUliiyi	Timoshenko
   2 Ukrayinii	potriibna
   2 Ukrayina	Poliitika
   2 Twitter	Google
   2 SHou	biiznes
   2 Reklama	v
   2 Proekti	zhurnalu
   2 Poroshenko	poznachiv
   2 Partiiieyu	regiioniiv
   2 Korrespondent	net
   2 Kiyiv	rozshiriv
   2 IEvropejs	kii
   2 Grojsman	Ukrayinii
   2 Golovna	Ukrayina
   2 Facebook	Twitter
   2 Arhiiv	Proekti
   2 27	7165
   1 zviil	nennya
   1 zv	yazku
   1 zroblena	yiyi
   1 zovniishn	oyi
   1 zokrema	stosovno
   1 zokrema	pov
   1 zmiiniti	situaciiyu
   1 zmiicnennya	verhovenstva
   1 zii	spravoyu
   1 zii	dlya
   1 zhurnalii	Piidpishis
   1 zhurnalii	Peredplati
   1 zgodnii	ii
   1 zayaviv	viice
   1 zayaviv	Ruchek
   1 zapevniv	scho
   1 zajme	sil
   1 zahischenii	Vikoristannya
   1 zaboronyaiet	sya
   1 za	umovi
   1 za	chisel
   1 z	yakih
   1 z	ukrayins
   1 z	situaciiieyu
   1 z	poznachkami
   1 z	posilannyam
   1 z	pitan
   1 z	Partiiieyu
   1 yiyi	ociinka
   1 yazku	z
   1 yazanii	zii
   1 yans	sociialiistiiv
   1 yakoyi	ie
   1 yakii	ie
   1 yakih	miistilisya
   1 yakih	materiialiiv
   1 yakih	iinodii
   1 yake	kopiiyuvannya
   1 yak	ya
   1 ya	skazav
   1 www	googletagmanager
   1 widgets	follow_button
   1 vzhe	najblizhchim
   1 vvazhaie	poliitik
   1 vsii	poliitichnii
   1 vsii	najbiil
   1 vkotre	nagolosiv
   1 viznav	scho
   1 vikoristannya	materiialiiv
   1 viin	viznav
