  10 suspiil	stva
   7 tret	ogo
   7 suspiil	stvo
   7 nij	S
   7 abo	zh
   7 _____________________________________________	_____________________________________________
   6 suspiil	stvom
   6 kij	S
   5 sya	na
   5 privatnoyi	vlasnostii
   5 ogo	blokiiv
   5 drugogo	ta
   5 S	ne
   5 INS	INS
   5 Biil	shiist
   4 sociialiistichnogo	suspiil
   4 na	temu
   4 biil	shiist
   4 IInterv	yu
   3 ta	tret
   3 stosuiet	sya
   3 sociialiistichnih	iidej
   3 sociialiistichne	suspiil
   3 sociial	noyi
   3 shiist	pershogo
   3 oh	blokiiv
   3 nih	problem
   3 napryamu	najchastiishe
   3 kontrol	nad
   3 drugogo	bloku
   3 danogo	napryamu
   3 chastina	drugogo
   3 blok	Nazvemo
   3 biil	sh
   3 Syudi	viidnesemo
   3 S	stverdzhuie
   3 Rozmova	z
   3 Nazvemo	jogo
   2 zoseredzhuiet	sya
   2 zaznachiti	scho
   2 za	metu
   2 za	dopomogoyu
   2 yu	Partneri
   2 yak	to
   2 yak	ne
   2 yak	na
   2 yak	ii
   2 vsiih	tr
   2 vistupaie	za
   2 viriishennya	suspiil
   2 viin	zhe
   2 viidobrazhaie	real
   2 ves	pershij
   2 velikoyi	privatnoyi
   2 v	riizniij
   2 v	danu
   2 u	nih
   2 tretiij	blok
   2 treba	buduvati
   2 tr	oh
   2 tomu	scho
   2 todii	yak
   2 ternativnii	iideyi
   2 tam	de
   2 tak	yak
   2 tak	ii
   2 ta	sociial
   2 ta	menshiist
   2 sya	lishe
   2 svyatogo	Valentina
   2 suspiil	noyi
   2 suspiil	nih
   2 suchasnomu	sviitii
   2 stverdzhuie	pro
   2 stva	1
   2 stavit	za
   2 stattii	pomilka
   2 sil	nij
   2 shiist	drugogo
   2 s	ogodnii
   2 rosiijs	kij
   2 rinkovij	S
   2 riizniij	miirii
   2 posiibnik	yak
   2 ponyattya	tim
   2 planovij	S
   2 pershogo	ta
   2 pershogo	bloku
   2 perekonannii	scho
   2 perehiid	do
   2 obmezhuie	abo
   2 ob	iem
   2 o	14
   2 noyi	spravedlivostii
   2 nih	zdiijsnyuie
   2 ne	treba
   2 napolyagaie	na
   2 najchastiishe	koristuyut
   2 nad	suspiil
   2 naciional	nii
   2 naciional	komuniizm
   2 na	korist
   2 na	konkretnih
   2 na	diilii
   2 metodami	Voni
   2 menshiist	tret
   2 marksizm	leniiniizm
   2 koristuyut	sya
   2 iinternaciional	nij
   2 iideyi	sociialiistichnogo
   2 ii	tomu
   2 ii	proces
   2 ii	ne
   2 e	mail
   2 drugogo	blokiiv
   2 do	S
   2 danij	chas
   2 ce	stosuiet
   2 buduvati	suspiil
   2 blokiiv	YAk
   2 bloki	sociialiistichnih
   2 biil	shovizm
   2 biidnih	Odnache
   2 Voni	perekonannii
   2 Varto	zaznachiti
   2 V	stattii
   2 S	zoseredzhuiet
   2 S	vistupaie
   2 S	rozglyadaie
   2 S	navpaki
   2 S	Derzhava
   2 S	Avtor
   2 Reklama	Napishiit
   2 Redakciiya	Publiikujsya
   2 Publiikujsya	IInterv
   2 Partneri	Reklama
   2 Napishiit	nam
   2 Na	s
   2 Na	danij
   2 Mikola	03
   2 Interv	yu
   2 IIdeologiiyi	danogo
   2 II	tomu
   2 Golovna	Redakciiya
   2 Dmitruk	Andriij
   2 Derzhava	u
   2 Den	svyatogo
   2 Andriij	Avtor
   2 Al	ternativnii
   2 2014	o
   2 06	2014
   2 03	06
   1 zvinuvatiti	u
   1 zruchnostii	mozhna
   1 zrazka	todii
   1 zoru	Viidpoviicti
   1 zneslavilasya	velikoyu
   1 znamenite	mozhlivostii
   1 znajdet	sya
   1 znaie	mozhlivo
   1 znachnoyi	suspiil
   1 znachennii	S
   1 zmogu	dlya
   1 zmogli	stvoriti
   1 zmiistu	ponyattya
   1 zmiist	tim
   1 zmiist	ponyattya
   1 zlochincyah	scho
   1 zhiviij	planetii
   1 zhittya	scho
   1 zhittya	dlya
   1 zhiti	na
   1 zhiti	lyudinii
   1 zhe	derzhavnij
   1 zhe	antiteyistichnij
   1 zh	zaboronyaie
   1 zh	vivezti
   1 zh	viidsutnya
   1 zh	u
   1 zh	pretenziiyi
   1 zh	mati
   1 zh	maie
   1 zh	ii
   1 zelenogo	sociialiizmu
   1 zelenij	S
   1 zdiijsnyuyut	romantiki
   1 zdiijsnyuvatisya	za
   1 zdiijsnyuvatisya	Syudi
   1 zdiijsnyuie	sil
   1 zdiijsnyuie	pomiirkovanij
   1 zberezhennya	prirodnogo
   1 zbereglisya	majzhe
   1 zayavlyaie	pro
   1 zavzhdi	tak
   1 zastoyu	2
   1 zastosovanij	Decentraliizovanij
   1 zastiijnih	yavisch
   1 zastiijne	yavische
   1 zasobi	virobnictva
   1 zasnovane	na
   1 zaradi	zagal
   1 zapis	Pol
   1 zapis	Interv
   1 zaperechuvatisya	malij
   1 zamozhnih	na
   1 zalezhnostii	viid
   1 zakonnostii	Takozh
   1 zakon	pro
   1 zahoplennya	vladi
   1 zahistu	dovkiillya
   1 zahischaie	neviiruyuchih
   1 zagal	nogo
   1 zadumuyut	geniiyi
   1 zachiipayut	pitannya
   1 zaboronyaie	vsiilyaku
   1 zaboronyaie	privatnu
   1 zaborona	ce
   1 zabirayut	sya
   1 za	viklyuchennyam
   1 za	takoyu
   1 za	soboyu
   1 za	rol
   1 za	rinkovii
   1 za	pevnij
   1 za	nedotorkaniist
   1 za	iisnuvannya
   1 za	demokratiiyu
   1 za	S
   1 z	vladikoyu
   1 z	odniiieyi
   1 z	fiilosofs
   1 z	chasom
   1 z	arhiimandritom
   1 z	Mehmetom
   1 z	IEpiskopom
   1 yuterne	upravliinnyaekonomiikoyu
   1 yu	z
   1 yu	s
   1 yu	nevinnih
   1 yu	c
   1 yu	Interv
   1 yiyi	zaborona
   1 yiyi	mozhna
   1 yih	rozumiinnii
   1 yih	prodazhu
   1 yih	mozhna
   1 yazkovo	maie
   1 yazkovii	polya
   1 yazanih	spiil
   1 yavische	Pomiirkovana
   1 yavisch	Zaregul
   1 yasinom	Ramanathi
   1 yam	dalii
   1 yaku	nebud
   1 yakscho	piid
   1 yakscho	cya
   1 yakoyis	sociial
   1 yakostii	spiilkuvannya
   1 yakij	pri
   1 yakij	poliitichnij
   1 yakii	sociialiistichnii
   1 yakii	probuvalisya
   1 yakas	rotaciiya
   1 yaka	gromads
   1 yak	viidkidayut
   1 yak	suspiil
   1 yak	stadiiyu
   1 yak	sociialiistichnii
   1 yak	proekt
   1 yak	pomiirkovaniij
   1 yak	pevnij
   1 yak	perehiidnu
   1 yak	ostannya
   1 yak	najshirshij
   1 yak	kiincevu
   1 yak	kapiitaliista
   1 yak	ce
   1 ya	______________________________
   1 vzhe	na
   1 vzagalii	iignoruie
   1 vydvigaetsya	osuschestvlenie
   1 vydumka	INS
   1 vvedenii	slova
   1 vuz	kih
   1 vtruchannya	v
   1 vstavit	sviij
   1 vsiim	viidomo
   1 vsiim	suspiil
   1 vsiilyaku	reliigiiyu
   1 vsiilyako	obmezhuie
   1 vsiilyakii	naciional
   1 vsiilyakih	zmogli
   1 vsiilyakih	sociialiistichnih
   1 vsiihiinshih	yakii
   1 vsiih	narodiiv
   1 vsiih	jogo
   1 vsiih	bez
   1 vsii	sociialiistichnii
   1 vsii	mayut
   1 vsii	materiial
   1 vsepopulyarnij	iinternet
   1 vse	taki
   1 vse	staie
   1 vs	ogo
   1 vrahovuvati	u
   1 vrahovuvati	naciional
   1 vrahovuie	miiscevu
   1 vplivu	Nadiiya
   1 vplivali	na
   1 vpisuvati	do
   1 vpisatisya	v
   1 voni	za
   1 voni	v
   1 vodnochas	kontrolyuyut
   1 vnutriishniih	protiriichchyah
   1 vlasnostii	yakij
   1 vlasnostii	yak
   1 vlasnostii	to
   1 vlasnostii	na
   1 vlasnostii	daie
   1 vlasnostii	Baasizm
   1 vlasnostii	A
   1 vlasniist	tak
   1 vlasniist	prinosit
   1 vlasniist	Biil
   1 vlasniist	1
   1 vlasne	demokratichnim
   1 vladikoyu	Borisom
   1 vladii	a
   1 vladi	trudyaschii
   1 vladi	Ce
   1 vkazanii	iideologiiyi
   1 viznaie	nedotorkaniist
   1 viznaie	dociil
   1 viznachimo	prinalezhniist
   1 viznachennya	ii
   1 viznachennya	ale
   1 viznachennya	S
   1 viznachaie	sociialiistichne
   1 vivezti	svoyi
   1 vityag	iiz
   1 visokij	riiven
   1 visoka	chastka
   1 virobnictvo	ii
   1 virobnictvo	Ostannie
   1 virobnictvii	ta
   1 virobnictva	A
   1 virobnichim	chi
   1 virobniche	planuvannya
   1 viriishivalasya	na
