   8 Pereviireno	Zberegti
   6 Zberegti	UKRAYINA
   6 1	travnya
   4 v	Ukrayinii
   4 ukrayins	kij
   4 travnya	2018
   4 statusu	golovi
   4 roku	Foto
   4 piid	chas
   3 z	nagodi
   3 yak	ii
   3 ukrayins	kii
   3 ukrayins	kih
   3 rol	u
   3 parlaments	kih
   3 nagodi	Dnya
   3 lipnya	2018
   3 liivij	ruh
   3 kii	sociialiisti
   3 do	Kiivi
   3 Sociialiistichnoyi	partiiyi
   3 L	ovochkiinim
   3 Kiva	zayaviv
   3 Franka	do
   2 zayaviv	scho
   2 zayaviv	pro
   2 za	potenciijnij
   2 z	togochasnoyi
   2 yiyi	na
   2 vzhe	bulo
   2 vpliv	na
   2 viivs	kiij
   2 viin	mav
   2 viborah	2012
   2 vazhlivu	rol
   2 v	Kiievii
   2 uchast	IIvan
   2 trudyaschih	z
   2 travnya	2009
   2 toj	chas
   2 togochasnoyi	narodnoyi
   2 takii	ukrayins
   2 skladno	nazivati
   2 siichnya	2018
   2 scho	jogo
   2 roku	Z
   2 robochogo	dnya
   2 pracii	v
   2 pozbavlyali	statusu
   2 pozbavili	statusu
   2 potrapila	do
   2 potenciijnij	vpliv
   2 poliitichnii	iideyi
   2 poliitichnih	partiij
   2 poglyadi	ii
   2 partiiyi	Ukrayini
   2 parlamentu	Utiim
   2 ovochkiinim	ii
   2 ne	pozbavlyali
   2 nazivayut	borot
   2 naviit	buv
   2 narodnoyi	iinteliigenciiyi
   2 na	toj
   2 na	liivij
   2 miizh	L
   2 miizh	Kapliinim
   2 mayivcii	brav
   2 mav	liivii
   2 liivoyu	yiyi
   2 liivij	elektorat
   2 liivii	poglyadi
   2 l	viivs
   2 kij	liivij
   2 kiil	ka
   2 kiij	mayivcii
   2 kih	viborah
   2 jogo	ne
   2 iinteliigenciiyi	viin
   2 ii	naviit
   2 ii	bagato
   2 ii	Kiivoyu
   2 ii	Avakovim
   2 hto	z
   2 hto	takii
   2 golovi	Sociialiistichnoyi
   2 do	parlamentu
   2 dityachoyi	pracii
   2 chas	vzhe
   2 buv	chlenom
   2 bulo	skladno
   2 brav	uchast
   2 boyu	miizh
   2 borot	boyu
   2 borot	bi
   2 bagato	hto
   2 Viid	Franka
   2 Utiim	liivoyu
   2 UNIIAN	Viid
   2 UKRAYINA	Viid
   2 UKRAYINA	17
   2 U	Pershiij
   2 Sinicya	UNIIAN
   2 Sergiij	Kapliin
   2 Pershiij	l
   2 Oleksandr	Sinicya
   2 Na	parlaments
   2 Marshu	trudyaschih
   2 Kiivoyu	nazivayut
   2 Kiivi	hto
   2 Kiievii	1
   2 Kapliinim	ii
   2 IIvan	Franko
   2 IIllyu	Kivu
   2 IIllya	Kiiva
   2 IIllii	Kiivi
   2 Franko	yak
   2 Foto	Oleksandr
   2 Dnya	pracii
   2 Avakovim	za
   2 9	travnya
   2 2018	roku
   2 2018	Kiva
   2 2016	roku
   2 2012	potrapila
   2 2009	roku
   2 1890	roku
   2 17	lipnya
   1 zvinuvachuie	niniishnyu
   1 zviitiTenderiReklamaPoliitikiGromadskoeHromadske	int
   1 zvichajnih	dlya
   1 zvernennya	do
   1 zustriichaiet	sya
   1 zrobila	Lesya
   1 zreshtoyu	lishilis
   1 zokrema	miizhnarodna
   1 znati	pro
   1 znahoditi	piidtrimku
   1 znachnu	chastinu
   1 zmiin	u
   1 zmenshuvavsya	Zmiinyuvalisya
   1 zmenshennya	vplivu
   1 zlittya	poglinannya
   1 zliit	poliitichnoyi
   1 ziigrav	vazhlivu
   1 ziibralisya	bliz
   1 zii	zdobuttyam
   1 zii	vstanovlennyam
   1 zhurnaliista	YAroslava
   1 zhovtnya	2017
   1 zhovtnya	2016
   1 zhittii	1990
   1 zhiinok	ii
   1 zhiinok	a
   1 zhertvami	z
   1 zh	1890
   1 zgiidno	iiz
   1 zemlii	Odnak
   1 zemel	miizh
   1 zdobuttyam	Ukrayinoyu
   1 zdobuttya	nezalezhnostii
   1 zdaten	vikonati
   1 zdaten	progoloshuvati
   1 zbrojnij	konfliikt
   1 zbiil	shennya
   1 zayavu	do
   1 zayavami	yakii
   1 zayavami	ta
   1 zatrimannya	Pereviireno
   1 zasudila	zokrema
   1 zareiestrovana	lishe
   1 zamiist	Abros
   1 zakonu	pro
   1 zakonoproektiiv	Kapliina
   1 zaklikavshi	do
   1 zaklikati	SPU
   1 zahodiiv	u
   1 zahistu	rosiijs
   1 zahiidniij	Ukrayinii
   1 zagal	nogo
   1 zaboronu	potrapila
   1 zaboronu	partiiyi
   1 zaboronili	tozh
   1 zaboroni	biil
   1 zaboroni	KPU
   1 zaborona	dityachoyi
   1 za	virokom
   1 za	uchast
   1 za	poryadok
   1 za	miistom
   1 za	danimi
   1 za	chasiiv
   1 za	16
   1 z	vimogoyu
   1 z	vazhlivih
   1 z	usiih
   1 z	shirokogo
   1 z	radyans
   1 z	poliitichnimi
   1 z	poliiciiieyu
   1 z	oliigarhiiieyu
   1 z	oboh
   1 z	narkozlochinniistyu
   1 z	lav
   1 z	danimi
   1 z	chasom
   1 z	borot
   1 z	15
   1 yiyi	liider
   1 yiyi	keriivnictvo
   1 yihniij	vpliv
   1 yihnii	shansi
   1 yazuyut	iiz
   1 yazanii	novini
   1 yavisch	yak
   1 yatii	ta
   1 yat	pro
   1 yansi	takozh
   1 yakostii	medicini
   1 yakii	ne
   1 yakii	chasto
   1 yak	zaborona
   1 yak	napriklad
   1 yacheslav	Ratins
   1 ya	Na
   1 vviijshla	v
   1 vvazhayut	iistorika
   1 vvazhayut	anarhiists
   1 vstup	do
   1 vstanovlennyam	Radyans
   1 vseredinii	iedinoyi
   1 vreshtii	zdobuttya
   1 vprodovzh	2014
   1 vplivu	privatnogo
   1 vplivu	oliigarhiiv
   1 vpliv	iistotno
   1 vos	migodinnogo
   1 vos	migodinnij
   1 vnutriishniih	sprav
   1 vlasnostii	kitajs
   1 vladu	viin
   1 vladi	kiil
   1 vladi	Kremlem
   1 viznachit	legiitimniist
   1 vistupati	z
   1 vislovlyuvan	okremih
   1 virokom	sudu
   1 vinischennya	opoziciiyi
   1 vimogoyu	vos
   1 vimogami	piidnyattya
   1 vimagayuchi	skorochennya
   1 vikonati	naviit
   1 viklyuchili	z
   1 viklyuchennya	bagatoriichnogo
   1 viivs	koyu
   1 viin	sche
   1 viin	nazvav
   1 viin	napisav
   1 viijni	naciionaliizaciiyi
   1 viidznachayut	Den
   1 viidsutniist	rasovoyi
   1 viidstanii	ciilkom
   1 viidshtovhovuvali	viid
   1 viidshtovhnuli	cherez
   1 viidrodzhennya	SRSR
   1 viidpustki	riivnopravniist
   1 viidpoviidne	riishennya
   1 viidomogo	riizkimi
   1 viidnovlennya	smertnoyi
   1 viidiigravali	vazhlivu
   1 viidiigravali	pomiitnu
   1 viidbuvsya	v
   1 viidbuvsya	togo
   1 viid	zvernennya
   1 viid	trudovih
   1 viid	samogo
   1 viid	radikal
   1 viid	novogo
   1 viid	liivih
   1 viid	avtoritarnogo
   1 viid	Lesii
   1 viichnij	Viin
   1 vihvalyati	SRSR
   1 viboriiv	nezalezhnoyi
   1 viborchogo	prava
   1 veteranami	IIllii
   1 vazhlivih	napryamiiv
   1 vazhkogo	udaru
   1 va	Troc
   1 v	subotu
   1 v	stolicii
   1 v	riiznii
   1 v	radyans
   1 v	nastupnij
   1 v	materiialii
   1 v	koaliiciiyu
   1 v	biik
   1 v	SPU
   1 v	Krimu
   1 usiih	ukrayins
   1 us	ogo
   1 upravliinnya	chi
   1 ukrayins	koyi
   1 ukrayinciiv	Tak
   1 udaru	sviitoviij
   1 uchastii	u
   1 uchast	u
   1 uchast	radikal
   1 uchasnikiiv	Marshu
   1 u	zhiinok
   1 u	svoiemu
   1 u	siichnii
   1 u	separatists
   1 u	rejtingovii
   1 u	poliitichnomu
   1 u	poliitichniij
   1 u	ob
   1 u	nazvah
   1 u	nastupne
   1 u	miitingu
   1 u	mezhah
   1 u	SPU
   1 u	Pomarancheviij
   1 u	Kiievii
   1 u	Harkovii
   1 u	Facebook
   1 u	Central
   1 u	2005
   1 turaTehnologiiyiZHitty	aNoviniProgramiFotoViideo
   1 trudyaschih	u
   1 trudovih	profspiilok
   1 treba	znati
   1 travnya	vvazhayut
   1 travnya	v
   1 travnya	u
   1 travnya	1890
   1 tr	oh
   1 tr	id
   1 tozh	u
   1 totaliitarnih	Piid
   1 tomu	chasto
   1 togo	zh
   1 tisyach	ukrayins
   1 tipi	publiikaciij
   1 tiisno	spiivpracyuvala
   1 tiiieyu	chi
   1 teritoriiyi	Rosiijs
   1 teoretichno	Golovu
   1 te	scho
   1 te	chomu
   1 tatom	rozkolu
   1 tatami	pershih
   1 takozh	zagal
   1 takozh	viidshtovhovuvali
   1 takih	zvichajnih
   1 ta	zvinuvachuie
