  11 LIIGA	Novosti
   6 ob	iednannya
   4 rezul	tatii
   4 pro	ob
   4 pravah	reklamy
   4 na	pravah
   4 Verhovnoyi	Radi
   4 Rud	kovs
   4 Radi	Ukrayini
   3 z	boku
   3 yuridichnii	osobi
   3 vojny	LIIGA
   3 v	Ukraine
   3 takii	yuridichnii
   3 sya	dlya
   3 skazal	s
   3 s	kem
   3 reklamy	Materialy
   3 puti	LIIGA
   3 publiichnogo	prava
   3 peshkom	cherez
   3 osobi	publiichnogo
   3 okonchaniya	vojny
   3 mensh	niizh
   3 l	dy
   3 kovs	kogo
   3 kih	viborah
   3 kem	gotov
   3 idet	peshkom
   3 hronika	ego
   3 gotov	dogovarivat
   3 ego	puti
   3 dy	Antarktidy
   3 dogovarivat	sya
   3 do	togo
   3 dlya	okonchaniya
   3 cherez	l
   3 bez	Kuchmi
   3 ____________________	BUTTON
   3 Zelenskij	skazal
   3 Ukrayina	bez
   3 Sociialiistichnoyi	partiiyi
   3 Press	centr
   3 Oleksandru	Morozu
   3 Oleksandr	Moroz
   3 Hto	takii
   3 Antarktidy	hronika
   3 Amerikanec	idet
   3 2011	roku
   3 2002	roku
   2 zhizn	v
   2 zdobutogo	piid
   2 zaspokoyit	sya
   2 zakon	kotoryj
   2 zagrozi	poliitichnogo
   2 za	riik
   2 za	prezidenststva
   2 za	dva
   2 za	2018
   2 z	yizd
   2 yizd	SPU
   2 vzhe	za
   2 vyzval	policiyu
   2 vlada	za
   2 visnovkiiv	Verhovnogo
   2 viiddali	golosi
   2 v	stroyaschihsya
   2 ustanovki	gazovoj
   2 uchast	u
   2 u	sporah
   2 u	rezul
   2 u	lipnii
   2 toj	moment
   2 todiishnya	opoziciiya
   2 to	LIIGA
   2 tehniki	v
   2 tat	sociialiistiiv
   2 ta	aktivnih
   2 sya	ot
   2 sya	na
   2 stroyaschihsya	mnogo
   2 sporah	po
   2 socsetyah	Kommentiruemye
   2 sociialiistiiv	zdobutogo
   2 sociialiistiiv	z
   2 skandalu	ta
   2 serjozno	postavilas
   2 serce	zaspokoyit
   2 scho	bulo
   2 scho	bude
   2 roki	do
   2 rezul	tatiiv
   2 publikovat	sya
   2 programa	derzhsluzhbovcya
   2 prines	ne
   2 prezidenststva	Kuchmi
   2 pravovih	visnovkiiv
   2 poza	mezhami
   2 postavilas	do
   2 poliitichnogo	liiderstva
   2 policiyu	Santa
   2 po	DTP
   2 piid	chas
   2 partiiyi	u
   2 parlaments	kih
   2 otklyuchaet	Lanos
   2 otkazat	sya
   2 ot	evroblyah
   2 opoziciiya	dosit
   2 opinilis	poza
   2 nth	nth
   2 niizh	za
   2 nemeckij	zakon
   2 ne	to
   2 ne	bazhayuchi
   2 nameren	otkazat
   2 na	toj
   2 na	programa
   2 na	cholii
   2 n	ogo
   2 mogut	publikovat
   2 mnogo	etazhkah
   2 mal	chik
   2 liivih	sil
   2 liivih	ii
   2 liiderstva	z
