  12 les	articles
  12 Tous	les
  10 de	la
   9 que	les
   7 les	femmes
   7 droits	sociaux
   5 des	classes
   5 Logo	Logo
   4 que	le
   4 et	des
   4 e	s
   4 des	droits
   4 dans	les
   4 d	une
   4 classes	populaires
   4 bien	que
   4 Lire	notre
   4 HVN	Lire
   3 sur	la
   3 situation	de
   3 s	est
   3 les	travailleurs
   3 le	mouvement
   3 la	richesse
   3 la	classe
   3 la	base
   3 femmes	en
   3 et	les
   3 et	le
   3 et	de
   3 en	situation
   3 en	particulier
   3 des	travailleurs
   3 de	droits
   3 dans	la
   3 d	organisation
   3 classe	moyenne
   3 Johanna	Brenner
   2 vers	les
   2 un	travail
   2 un	mouvement
   2 un	front
   2 travailleurs	ses
   2 toujours	aujourd
   2 termes	de
   2 sur	les
   2 sur	le
   2 sociaux	que
   2 socialiser	les
   2 social	exigeait
   2 sein	du
   2 seconde	vague
   2 richesse	du
   2 redistribuer	la
   2 race	l
   2 qui	les
   2 qui	aurait
   2 qu	elles
   2 programmes	de
   2 pour	les
   2 pour	le
   2 plan	social
   2 pays	du
   2 particulier	des
   2 ou	des
   2 organisation	et
   2 organisation	de
   2 notre	entretien
   2 notre	HVN
   2 moyenne	ont
   2 militantes	des
   2 militant	un
   2 militant	e
   2 lutte	contre
   2 lire	Rencontres
   2 lieu	de
   2 les	syndicats
   2 les	mouvements
   2 les	droits
   2 les	demandes
   2 le	temps
   2 la	pratiques
   2 l	organisation
   2 l	ethnie
   2 individuels	et
   2 hui	de
   2 groupe	des
   2 gays	et
   2 front	anticapitaliste
   2 femmes	de
   2 exigeait	alors
   2 exige	toujours
   2 ethnie	la
   2 et	social
   2 et	la
   2 et	l
   2 et	exige
   2 est	que
   2 est	ce
   2 entretien	avec
   2 entre	les
   2 elles	soient
   2 du	groupe
   2 du	capital
   2 du	Nord
   2 donc	Comprendre
   2 des	femmes
   2 des	et
   2 des	cadres
   2 de	redistribuer
   2 de	nouvelles
   2 de	lutte
   2 de	garde
   2 dans	une
   2 dans	un
   2 contre	la
   2 classes	moyennes
   2 ce	donc
   2 capital	vers
   2 c	est
   2 auteur	e
   2 aujourd	hui
   2 au	sein
   2 articles	Tribune
   2 articles	Reportages
   2 articles	Musique
   2 articles	Histoire
   2 articles	Cartouches
   2 articles	Antiracisme
   2 anticapitaliste	qui
   2 alors	que
   2 alors	et
   2 XXI	e
   2 Welfare	Rights
   2 Tribune	Raconter
   2 Syndicalisme	Discuter
   2 Sociologie	Lutter
   2 Sentir	Tous
   2 Reportages	Portraits
   2 Rencontres	Liens
   2 Raconter	Tous
   2 Qu	est
   2 Portraits	Portfolios
   2 Portfolios	Sentir
   2 Philosophie	Sociologie
   2 Nous	lire
   2 National	Welfare
   2 NWRO	a
   2 Musique	Relier
   2 Memento	Qu
   2 Lutter	Tous
   2 Liens	Soutenir
   2 International	Philosophie
