   8 Parti	socialiste
   7 Jean	Christophe
   6 Emmanuel	Macron
   5 leJDD	fr
   5 Logo	leJDD
   4 Donald	Trump
   3 t	il
   3 sur	la
   3 n	est
   3 m	abonne
   3 le	PS
   3 la	situation
   3 Je	m
   3 Il	faut
   3 Edouard	Philippe
   2 vivre	une
   2 une	du
   2 tend	encore
   2 socialiste	a
   2 situation	se
   2 se	tend
   2 se	Pourquoi
   2 pourrait	vivre
   2 pourrait	encore
   2 plus	se
   2 par	an
   2 la	une
   2 la	fraude
   2 journal	du
   2 jeunesse	de
   2 il	faut
   2 homme	4
   2 fraude	aux
   2 fr	J
   2 femmes	46
   2 euros	par
   2 erreurs	de
   2 encore	plus
   2 encore	entre
   2 du	parti
   2 du	journal
   2 du	dimanche
   2 du	Parti
   2 divers	Justice
   2 de	la
   2 de	jeunesse
   2 de	Christophe
   2 d	euros
   2 c	est
   2 au	journal
   2 abonne	au
   2 Wauquiez	Marine
   2 Vladimir	Poutine
   2 Unis	Donald
   2 Union	Royaume
   2 Uni	Proche
   2 Trump	pourrait
   2 Trump	Russie
   2 Tennis	Cyclisme
   2 Syrie	la
   2 Syrie	Union
   2 Suivez	nous
   2 Sport	Football
   2 Sondages	JDD
   2 Societe	Faits
   2 Services	Industries
   2 Sciences	Emploi
   2 Russie	Vladimir
   2 Rugby	Natation
   2 Royaume	Uni
   2 Proche	Orient
   2 Poutine	Syrie
   2 Pourquoi	Emmanuel
   2 Pourquoi	Donald
   2 Politique	Emmanuel
   2 Philippe	Jean
   2 People	Musique
   2 Pen	Societe
   2 Paris	Culture
   2 Orient	Eco
   2 Non	la
   2 Natation	Basket
   2 Musique	Livres
   2 Marine	Le
   2 Macron	pourrait
   2 Macron	Edouard
   2 Luc	Laurent
   2 Loisirs	Sport
   2 Livres	Expos
   2 Les	erreurs
   2 Le	Pen
   2 Le	Parti
   2 Laurent	Wauquiez
   2 La	une
   2 Justice	Education
   2 Jean	Luc
   2 JDD	Opinions
   2 International	Etats
   2 Industries	Paris
   2 Handball	Sondages
   2 Football	Tennis
   2 Faits	divers
   2 Expos	Loisirs
   2 Etats	Unis
   2 Entreprises	Services
   2 En	Syrie
   2 Emploi	International
   2 Education	Sciences
   2 Eco	Entreprises
   2 Cyclisme	Rugby
   2 Culture	People
   2 Christophe	Press
   2 Christophe	Parti
   2 Christophe	Jean
   2 Christophe	Castaner
   2 C	est
   2 Basket	Handball
   2 46	enfants
   2 4	femmes
   2 1	homme
   1 y	a
   1 vu	des
   1 vrai	bon
   1 vous	Suivez
   1 valeurs	ajoutait
   1 va	pas
   1 va	comme
   1 une	reconstruction
   1 une	maison
   1 une	gauche
   1 une	fois
   1 une	ambulance
   1 une	Parti
   1 une	L
   1 une	2018
   1 une	1
   1 un	vrai
   1 un	simple
   1 un	peu
   1 un	groupe
   1 un	examen
   1 un	avenir
   1 toute	l
   1 tourbillon	aura
   1 tour	des
   1 tire	pas
   1 terre	Mandon
   1 termine	soit
   1 tente	de
   1 tendances	confondues
   1 tel	Dans
   1 tant	que
   1 survivre	La
   1 sur	une
   1 sur	internationale
   1 sur	cet
   1 sur	Les
   1 souhait	de
   1 sont	avis
   1 son	France
   1 soit	un
   1 soir	du
   1 soir	Le
   1 socialistes	qui
   1 socialistes	avaient
   1 socialiste	une
   1 socialiste	tendances
   1 socialiste	ne
   1 socialiste	et
   1 socialiste	dans
   1 socialiste	Les
   1 socialiste	Jean
   1 situation	Pour
   1 simple	changement
   1 ses	bastions
   1 second	tour
   1 scrutin	Mais
   1 sciure	on
   1 savoir	ce
   1 ruines	Dossiers
   1 rien	La
   1 reviendrons	legislatives2017
   1 revenaient	pour
   1 responsables	socialistes
   1 repartir	d
