   4 ne	peut
   4 du	parti
   4 Gilets	jaunes
   3 tout	le
   3 qu	il
   3 les	socialistes
   3 le	monde
   3 le	PS
   3 de	la
   3 ambitions	personnelles
   3 Parti	socialiste
   2 un	groupe
   2 tient	une
   2 sur	des
   2 socialistes	peuvent
   2 pour	se
   2 pour	le
   2 peut	pas
   2 pas	se
   2 n	est
   2 ligne	politique
   2 les	prochains
   2 la	gauche
   2 l	avenir
   2 il	ne
   2 homme	tient
   2 et	des
   2 est	pas
   2 de	se
   2 de	l
   2 dans	l
   2 comme	un
   2 besoin	de
   2 Un	homme
   2 Si	la
   2 Matthias	Fekl
   2 Manuel	Valls
   2 Laurence	Rossignol
   2 Elections	Elections
   2 C	est
   1 y	est
   1 y	a
   1 www	francetvinfo
   1 web	animaux
   1 vrai	ou
   1 votre	circonscription
   1 votera	la
   1 voter	sur
   1 votent	pas
   1 vieux	grognard
   1 vie	des
   1 victoire	dans
   1 veux	pas
   1 vers	l
   1 vaut	la
   1 va	tout
   1 urgence	C
   1 une	suspension
   1 une	retraite
   1 une	renaissance
   1 une	mai
   1 une	direction
   1 une	chance
   1 une	Guillaume
   1 une	2017
   1 un	vieux
   1 un	tweet
   1 un	responsable
   1 un	n
   1 un	membre
   1 un	grand
   1 un	d
   1 un	besoin
   1 un	avenir
   1 tweet	Dans
   1 trente	ans
   1 transpartisan	Pour
   1 tout	va
   1 tout	reconstruire
   1 temps	pour
   1 temps	politiques
   1 temps	de
   1 tech	web
   1 taxes	sur
   1 t	il
   1 suspension	des
   1 survivre	il
   1 surtout	pas
   1 sur	la
   1 sur	l
   1 suite	CARTE
   1 succession	monde
   1 sports	sciences
   1 souvient	le
   1 sous	sa
   1 sous	ambitions
   1 sous	Avant
   1 soupire	un
   1 sortis	de
   1 sortant	Thierry
   1 sont	les
   1 sont	jamais
   1 son	organisation
   1 son	mouvement
   1 son	arrangements
   1 son	Mouvement
   1 sol	au
   1 socialistes	et
   1 socialistes	Preuve
   1 socialiste	votera
   1 socialiste	la
   1 socialiste	aura
   1 socialiste	Elections
   1 social	interroge
   1 simplement	comme
   1 si	le
   1 si	chacun
   1 ses	cendres_2238051
   1 sereinement	A
   1 serait	pire
   1 serai	pas
   1 sein	du
   1 sec	https
   1 se	souvient
   1 se	retrouver
   1 se	reconstruire
   1 se	projeter
   1 se	posera
   1 se	placer
   1 se	permettre
   1 se	passer
   1 se	faire
   1 se	consoler
   1 se	Parti
   1 scrutin	n
   1 scission	est
   1 sciences	tech
   1 sans	doute
   1 sa	permettent
   1 sa	forme
   1 s	inscrivent
   1 s	ils
   1 s	il
   1 s	extraire
   1 s	changer
   1 s	agit
   1 s	Marie
   1 ruine	au
   1 revenir	au
   1 revendication	de
   1 retrouver	dans
   1 retraite	mais
   1 restent	tout
   1 responsable	socialiste
   1 respecter	sa
   1 respecte	les
   1 renaitre	le
   1 renaissance	a
   1 regrette	aussi
   1 regardant	le
   1 refaire	un
   1 reconstruire	plus
   1 reconstruire	la
   1 reconstruire	du
   1 recommencer	les
   1 radio	jt
   1 qui	une
   1 qui	permette
   1 qui	les
   1 qui	laisse
   1 qui	disent
   1 qui	composent
   1 qui	a
   1 qui	Si
   1 question	victoire
   1 question	du
   1 quelques	suite
   1 quelle	qui
   1 quelle	ligne
   1 que	nous
   1 que	ne
   1 que	les
   1 que	le
   1 que	de
   1 que	LREM
   1 qu	on
   1 puisque	la
   1 ps	de
   1 pronostique	dans
   1 projeter	vers
   1 prochains	mois
   1 prochains	jours
   1 probable	d
   1 presque	s
   1 premier	moment
   1 pouvoir	ne
   1 pourtant	les
   1 pour	un
   1 pour	moi
   1 pour	la
   1 position	que
   1 posera	revendication
   1 portons	a
   1 politiques	personne
   1 politiques	mais
   1 politique	pour
   1 politique	faits
   1 politique	et
   1 politique	C
   1 point	le
   1 plus	sereinement
   1 plus	important
   1 plus	fonctionner
   1 plupart	des
   1 plaident	pour
   1 plafond	clament
   1 placer	ouvertement
   1 pire	pour
   1 peuvent	se
   1 peuvent	esperer
   1 peut	plus
   1 peut	depuis
   1 personnes	se
   1 personnelles	observe
   1 personnelles	et
   1 personnelles	En
   1 personne	estime
   1 personne	au
   1 persifle	un
   1 permettre	votent
   1 permettre	une
   1 permettent	de
   1 permette	aux
   1 permet	pas
   1 perdues	d
   1 pense	qu
   1 peine	chapelles
   1 passer	dans
   1 pas	veux
   1 pas	sous
   1 pas	recommencer
   1 pas	pour
   1 pas	me
   1 pas	leurs
   1 pas	la
   1 pas	de
   1 pas	capable
   1 pas	Marie
   1 parti	l
   1 parti	Pour
   1 parti	Matthias
   1 parti	L
   1 parti	Bref
   1 partage	pas
   1 parlementaires	Les
   1 ouvertement	dans
   1 ou	simplement
   1 ou	presque
   1 ou	fake
   1 ou	dix
   1 ose	se
   1 orientations	se
   1 organiser	une
   1 organisation	Rien
   1 ores	et
   1 optique	de
   1 opposition	ou
   1 ont	d
   1 on	ne
   1 on	est
   1 observe	Laurence
   1 nouveaux	que
   1 nouveau	PS
   1 nous	portons
   1 normal	et
   1 nom	se
   1 ne	sont
   1 ne	serait
   1 ne	serai
   1 ne	permet
   1 ne	partage
   1 ne	faut
   1 ne	change
   1 nationale	s
   1 n	y
   1 n	personne
   1 n	ose
   1 n	importe
   1 municipales	de
   1 mouvement	transpartisan
   1 mouvement	Hamon
   1 motions	des
   1 motion	de
   1 monde	ou
   1 monde	joue
   1 monde	d
   1 monde	culture
   1 monde	Alexis
   1 moment	de
   1 mois	Bachelay
   1 moins	consensuel
   1 moi	d
