   9 __________	__________
   6 Le	point
   6 Le	Point
   4 un	compte
   4 de	la
   3 un	contenu
   3 ne	pouvez
   3 le	24
   3 est	Vous
   3 du	Point
   3 de	passe
   3 contenu	abusif
   3 ____________________________________________________________	____________________________________________________________
   3 ____________________	Votre
   3 Vous	ne
   3 Vous	avez
   3 Tous	les
   3 Signaler	un
   3 LePoint	fr
   3 Envoyer	BUTTON
   3 Connectez	vous
   3 24	09
   2 utils	noscript
   2 un	pseudo
   2 toutes	les
   2 tous	les
   2 tagcommander	com
   2 service	est
   2 redirect2217	tagcommander
   2 qu	un
   2 pouvez	plus
   2 point	Le
   2 plus	contributions
   2 php	id
   2 noscript	php
   2 ne	Consulter
   2 mode	iframe
   2 menace	de
   2 mail	____________________
   2 lors	de
   2 les	questions
   2 la	charte
   2 la	France
   2 fermer	la
   2 est	obligatoire
   2 e	mail
   2 du	commentaire
   2 de	fermer
   2 d	autres
   2 contributions	ne
   2 compte	Facebook
   2 commentaire	est
   2 com	utils
   2 charte	de
   2 avez	un
   2 avant	de
   2 aux	favoris
   2 abusif	Par
   2 Xavier	Bertrand
   2 Vive	la
   2 Veuillez	saisir
   2 Trump	menace
   2 Tech	Net
   2 Point	Pop
   2 On	croit
   2 Mot	de
   2 IFRAME	redirect2217
   2 Faut	il
   2 Envoyer	Annuler
   2 En	continu
   2 Consulter	la
   2 Comment	est
   2 Ce	service
   2 Ajouter	aux
   2 Abonnez	vous
   1 y	croit
   1 vous	plus
   1 vous	devez
   1 vous	Vous
   1 vous	Mot
   1 vous	Le
   1 vous	Achetez
   1 votre	commentaire
   1 vos	contenus
   1 visite	16H00
   1 vin	Le
   1 veut	14H54
   1 vente	actuellement
   1 vent	monde
   1 vaciller	MBS
   1 utilisation	Ce
   1 utiles	FAQ
   1 usage	d
   1 univers	du
   1 une	seule
   1 une	histoire
   1 une	gangue
   1 une	forme
   1 une	La
   1 une	En
   1 un	vent
   1 un	passeport
   1 un	brouillon
   1 un	article
   1 un	Pour
   1 triste	opinion
   1 toute	l
   1 tout	interdire
   1 titre	du
   1 texte	du
   1 tentant	de
   1 temps	l
   1 technos	Tech
   1 tarif	Je
   1 tamponne	15H44
   1 sur	les
   1 sur	le
   1 sur	enregistrer
   1 sur	LePoint
   1 suivez	les
   1 suffisant	pour
   1 souvent	choquante
   1 soumettre	votre
   1 son	public
   1 sommes	OJD
