  13 Sasha	Gentsis
   4 de	l
   3 et	de
   2 que	l
   2 plus	Sasha
   2 l	usine
   2 de	son
   2 de	Russia
   2 aujourd	hui
   2 Russia	Beyond
   2 Lire	aussi
   2 Gentsis	La
   2 Gentsis	Dans
   1 zNCw5OSAxNTMsMTAxIDE4Miw5OSIgaWQ9IjExMSIgZmlsbD0icmdiKDEwNCw2Niw0MCkiIG	ZpbGwtb3BhY2l0eT0iMC41MDE5NjEiIC8
   1 zMCIgaWQ9IjM0IiBmaWxsPSJyZ2IoMTg1LDE1MywxNDUpIiBmaWxsLW9wYWNpdHk9IjAuNT	AxOTYxIiAvPgo8cG9seWdvbiBwb2ludHM9IjExMSw5NSA0NSw5OSAzNiw5MiIgaWQ9IjM1I
   1 zIiBmaWxsPSJyZ2IoMjA1LDEzNyw2MCkiIGZpbGwtb3BhY2l0eT0iMC41MDE5NjEiIC8	Cj
   1 ywxMDMgMTI2LDEwMyIgaWQ9IjExMiIgZmlsbD0icmdiKDgzLDU3LDExKSIgZmlsbC1vcGFj	aXR5PSIwLjUwMTk2MSIgLz4KPHBvbHlnb24gcG9pbnRzPSI0Miw0MSA0MCwzNiA0NywzOSI
   1 yw5OCA2Nyw5OSA2Nyw5MiIgaWQ9IjEyMSIgZmlsbD0icmdiKDE3MywxNzIsMTIxKSIgZmls	bC1vcGFjaXR5PSIwLjUwMTk2MSIgLz4KPHBvbHlnb24gcG9pbnRzPSIxMjMsNTEgMTQ1LDU
   1 yIgZmlsbD0icmdiKDE5OSwxMjIsMikiIGZpbGwtb3BhY2l0eT0iMC41MDE5NjEiIC8	Cjxw
   1 yIDE2OCwxMjQgMTg3LDc2IiBpZD0iNDEiIGZpbGw9InJnYigxMjIsMTIxLDc2KSIgZmlsbC	1vcGFjaXR5PSIwLjUwMTk2MSIgLz4KPHBvbHlnb24gcG9pbnRzPSIzOSwwIDIwLDY0IDU1L
   1 y	modernisait
